Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Source,Major Genre,Creative Type,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
The Work and the Glory: American Zion,2025032,2025032,,6500000,Oct 21 2005,PG/PG-13,Adapted screenplay,Drama,Fiction,,5.6,365
The Pursuit of D.B. Cooper,2104164,2104164,,12000000,Nov 13 1981,,Adapted screenplay,Action/Adventure,Fiction,,5.8,442
A Dog of Flanders,2165637,2165637,,7000000,Aug 27 1999,PG/PG-13,Adapted screenplay,Drama,Fiction,17,5.9,482
Smilla's Sense of Snow,2221994,2221994,,35000000,Feb 28 1997,R,Adapted screenplay,Horror/Thriller,Fiction,53,6.1,7280
Fur,223202,2281089,,16800000,Nov 10 2006,R,Adapted screenplay,Drama,Non-Fiction,,,
42nd Street,2300000,2300000,,439000,Mar 09 2033,,Adapted screenplay,Western/Musical,,95,7.7,4263
Last Orders,2326407,2326407,,12000000,Feb 15 2002,R,Adapted screenplay,Drama,Fiction,,7,3463
What Just Happened,1090947,2412123,,27000000,Oct 17 2008,R,Adapted screenplay,Comedy,Fiction,,5.9,12537
And When Did You Last See Your Father?,1071240,2476491,,8000000,Jun 06 2008,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,,6.8,1798
Love and Death on Long Island,2542264,2542264,,4030000,Mar 06 1998,PG/PG-13,Adapted screenplay,Drama,Fiction,,6.9,2506
Infamous,1151330,2613717,,13000000,Oct 13 2006,R,Adapted screenplay,Drama,Non-Fiction,72,7.1,6917
Auto Focus,2062066,2703821,,7000000,Oct 18 2002,R,Adapted screenplay,Drama,Non-Fiction,72,6.6,7236
Cheri,2715657,2715657,,23000000,Jun 26 2009,R,Adapted screenplay,Drama,Fiction,54,6.1,3307
Goodbye Bafana,0,2717302,,30000000,Dec 14 2007,,Adapted screenplay,Drama,Non-Fiction,,7,3631
The Perez Family,2794056,2794056,,11000000,May 12 1995,R,Adapted screenplay,Comedy,Fiction,67,6,1177
Jindabyne,399879,2862544,,10800000,Apr 27 2007,R,Adapted screenplay,Drama,Fiction,,6.4,3920
The House of Mirth,3041803,3041803,,10000000,Dec 22 2000,PG/PG-13,Adapted screenplay,Drama,Fiction,81,6.8,4489
Tristram Shandy: A Cock and Bull Story,1253413,3061763,,4750000,Jan 27 2006,R,Adapted screenplay,Comedy,Fiction,,,
The Work and the Glory,3347647,3347647,,7500000,Nov 24 2004,PG/PG-13,Adapted screenplay,Drama,Fiction,17,6,531
Crash,3357324,3357324,,10000000,Oct 04 1996,R,Adapted screenplay,Drama,Fiction,65,6.1,20886
Talk Radio,3468572,3468572,,4000000,Dec 01 1988,,Adapted screenplay,Drama,Fiction,80,7,5659
Jekyll and Hyde... Together Again,3707583,3707583,,5000000,Aug 27 1982,,Adapted screenplay,Comedy,Fiction,,5.5,486
My Summer of Love,1000915,3800915,,1700000,Jun 17 2005,R,Adapted screenplay,Drama,Fiction,,7,7242
Restoration,4100000,4100000,,18000000,Dec 29 1995,R,Adapted screenplay,Drama,Fiction,,6.5,4024
Left Behind,4221341,4221341,,18500000,Feb 02 2001,PG/PG-13,Adapted screenplay,Drama,Fiction,,5,43
The Sweet Hereafter,4306697,4306697,,5000000,Oct 10 1997,R,Adapted screenplay,Drama,Fiction,100,7.8,16280
The Other Side of Heaven,4720371,4720371,,7000000,Dec 14 2001,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,,6.3,1670
The Virgin Suicides,4859475,4859475,,6000000,Apr 21 2000,R,Adapted screenplay,Comedy,Fiction,,7.2,49110
Jakob the Liar,4956401,4956401,,15000000,Sep 24 1999,PG/PG-13,Adapted screenplay,Drama,Fiction,30,6.1,6636
"The Beast from 20,000 Fathoms",5000000,5000000,,210000,Jun 13 1953,,Adapted screenplay,,,90,,
The Hotel New Hampshire,5142858,5142858,,7500000,Mar 09 1984,,Adapted screenplay,Drama,Fiction,69,5.8,4387
Control,871577,5645350,,6400000,Oct 10 2007,R,Adapted screenplay,Drama,Non-Fiction,87,7.8,19466
El Crimen de Padre,5719000,5719000,,1800000,Nov 15 2002,R,Adapted screenplay,Drama,Fiction,,,
Ed Wood,5828466,5828466,,18000000,Sep 30 1994,R,Adapted screenplay,Comedy,Non-Fiction,91,8.1,74171
Rebecca,6000000,6000000,,1288000,Dec 31 1939,,Adapted screenplay,Drama,,100,8.4,35429
Impostor,6114237,6114237,,40000000,Jan 04 2002,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,,6,9020
Nowhere in Africa,6173485,6173485,,6500000,Mar 07 2003,R,Adapted screenplay,Drama,Fiction,,,
A Sound of Thunder,1900451,6300451,,80000000,Sep 02 2005,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6,4.1,9915
Mary Reilly,5707094,6370115,,47000000,Feb 23 1996,R,Adapted screenplay,Drama,Fiction,27,5.5,6864
My Own Private Idaho,6401336,6401336,,2500000,Sep 29 1991,,Adapted screenplay,Comedy,Fiction,84,7,17604
Gods and Monsters,6451628,6451628,,3500000,Nov 06 1998,R,Adapted screenplay,Drama,Fiction,96,7.5,15946
I Dreamed of Africa,6543194,6543194,,34000000,May 05 2000,PG/PG-13,Adapted screenplay,Drama,Fiction,9,5.2,2298
The Last Station,6616974,6616974,,18000000,Jan 15 2010,R,Adapted screenplay,Drama,Non-Fiction,,7,3465
The Big Bounce,6471394,6626115,,50000000,Jan 30 2004,PG/PG-13,Adapted screenplay,Comedy,Fiction,,4.8,9195
Nine 1/2 Weeks,6734844,6734844,,18000000,Feb 21 1986,,Adapted screenplay,Drama,Fiction,,5.4,12731
Red Sonja,6905861,6905861,,17900000,Jun 28 1985,,Adapted screenplay,Action/Adventure,Fiction,20,4.4,11896
Trapped,6916869,6916869,,30000000,Sep 20 2002,R,Adapted screenplay,Horror/Thriller,Fiction,18,6,10685
The Prisoner of Zenda,7000000,7000000,,12500000,May 25 1979,,Adapted screenplay,Comedy,Fiction,,4.6,406
Obsluhoval jsem anglickÈho kr·le,617228,7174984,,4900000,Aug 29 2008,R,Adapted screenplay,Comedy,Fiction,,7.4,3048
Running With Scissors,6775659,7213629,1877732,12000000,Oct 20 2006,R,Adapted screenplay,Comedy,Non-Fiction,30,6,12926
Requiem for a Dream,3635482,7390108,,4500000,Oct 06 2000,Other,Adapted screenplay,Drama,Fiction,78,8.5,185226
A Scanner Darkly,5501616,7405084,,20000000,Jul 07 2006,R,Adapted screenplay,Horror/Thriller,Fiction,68,7.2,41928
Smoke Signals,6719300,7756617,,2000000,Jun 26 1998,PG/PG-13,Adapted screenplay,Comedy,Fiction,86,6.9,5058
"20,000 Leagues Under the Sea",8000000,8000000,,200000,Dec 24 2016,,Adapted screenplay,Action/Adventure,,,,
Annie Get Your Gun,8000000,8000000,,3768785,May 17 1950,,Adapted screenplay,Western/Musical,,100,7.1,1326
Hoot,8117637,8224998,11095119,15000000,May 05 2006,PG/PG-13,Adapted screenplay,Comedy,Fiction,26,5.3,2830
The Love Letter,8322608,8322608,,15000000,May 21 1999,PG/PG-13,Adapted screenplay,Comedy,Fiction,33,5.1,2446
The Last Temptation of Christ,8373585,8373585,,7000000,Aug 12 1988,,Adapted screenplay,Drama,Fiction,83,7.5,20934
Big Trouble,7262288,8488871,,45000000,Apr 05 2002,PG/PG-13,Adapted screenplay,Comedy,Fiction,48,6.3,11610
The Oxford Murders,3607,8667348,,10000000,Aug 06 2010,R,Adapted screenplay,Horror/Thriller,Fiction,10,6.1,8066
Whatever it Takes,8735529,8735529,,15000000,Mar 24 2000,PG/PG-13,Adapted screenplay,Comedy,Fiction,16,5.2,4192
The Deep End,8823109,8823109,,3000000,Aug 08 2001,R,Adapted screenplay,Horror/Thriller,Fiction,81,6.6,6734
Brainstorm,8921050,8921050,,15000000,Sep 30 1983,,Adapted screenplay,Horror/Thriller,Fiction,64,6.3,4410
Ben-Hur,9000000,9000000,,3900000,Dec 30 2025,,Adapted screenplay,Action/Adventure,,,8.2,58510
The Martian Child,7500310,9076823,7705880,27000000,Nov 02 2007,PG/PG-13,Adapted screenplay,Drama,Fiction,,,
Miracle at St. Anna,7916887,9110458,9178061,45000000,Sep 26 2008,R,Adapted screenplay,Drama,Fiction,34,5.9,8559
Alex Rider: Operation Stormbreaker,659210,9351567,,40000000,Oct 13 2006,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,,,
All the King's Men,7221458,9521458,,55000000,Sep 22 2006,PG/PG-13,Adapted screenplay,Drama,Fiction,11,6,11994
The Dark Half,9579068,9579068,,15000000,Apr 23 1993,,Adapted screenplay,Horror/Thriller,Fiction,,5.7,5488
Somewhere in Time,9709597,9709597,,5100000,Oct 03 1980,,Adapted screenplay,Drama,Fiction,63,7,8787
The Express,9793406,9808102,6580715,37500000,Oct 04 2008,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,61,7.1,4749
Tsotsi,2912606,9879971,,3000000,Feb 24 2006,R,Adapted screenplay,Drama,Fiction,,7.4,13167
Mrs. Winterbourne,10039566,10039566,,25000000,Apr 19 1996,PG/PG-13,Adapted screenplay,Comedy,Fiction,7,5.8,2987
Taking Woodstock,7460204,10061080,,29000000,Aug 26 2009,R,Adapted screenplay,Drama,Non-Fiction,48,6.8,8778
The Scarlet Letter,10359006,10359006,,50000000,Oct 13 1995,R,Adapted screenplay,Drama,Fiction,15,4.6,6155
Moby Dick,10400000,10400000,,4500000,Dec 31 1955,,Adapted screenplay,Action/Adventure,Fiction,67,7.4,5969
Sex Drive,8402485,10412485,10245880,19000000,Oct 17 2008,R,Adapted screenplay,Comedy,Fiction,46,6.8,26920
Not Easily Broken,10572742,10572742,13828911,5000000,Jan 09 2009,PG/PG-13,Adapted screenplay,Drama,Fiction,35,5.2,1010
The Great Raid,10166502,10597070,,60000000,Aug 12 2005,R,Adapted screenplay,Action/Adventure,Fiction,36,6.8,8894
Return to Oz,10618813,10618813,,27000000,Jun 21 1985,,Adapted screenplay,Action/Adventure,Fiction,55,6.7,7491
The End of the Affair,10660147,10660147,,23000000,Dec 03 1999,R,Adapted screenplay,Drama,Fiction,67,6.9,9969
The Beastmaster,10751126,10751126,,5000000,Aug 20 1982,,Adapted screenplay,Action/Adventure,Fiction,50,5.7,5734
Silver Bullet,10803211,10803211,,7000000,Oct 11 1985,,Adapted screenplay,Horror/Thriller,Fiction,50,5.9,6387
The Birth of a Nation,10000000,11000000,,110000,Feb 08 2015,,Adapted screenplay,Drama,,100,7.1,8901
Being Julia,7739049,11039049,,18000000,Oct 15 2004,R,Adapted screenplay,Drama,Fiction,76,7.1,7067
Sphinx,2000000,11400000,,10000000,Feb 11 1981,,Adapted screenplay,Horror/Thriller,Fiction,,4.9,478
Fair Game,11497497,11497497,,50000000,Nov 03 1995,R,Adapted screenplay,Action/Adventure,Fiction,13,6.6,194
Lifeforce,11603545,11603545,,25000000,Jun 21 1985,,Adapted screenplay,Horror/Thriller,Fiction,57,5.8,5727
The Rules of AttrAction/Adventure,6525762,11799060,,4000000,Oct 11 2002,R,Adapted screenplay,Comedy,Fiction,44,6.7,26634
The Thirteenth Floor,11810854,11810854,,16000000,May 28 1999,R,Adapted screenplay,Horror/Thriller,Fiction,28,6.7,19939
City of Ember,7871693,11817059,6086988,38000000,Oct 10 2008,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,53,6.4,14905
Layer Cake,2339957,11850214,,6500000,May 13 2005,R,Adapted screenplay,Horror/Thriller,Fiction,,7.4,39857
In Dreams,12017369,12017369,,30000000,Jan 15 1999,R,Adapted screenplay,Horror/Thriller,Fiction,22,5.3,7138
How to Lose Friends & Alienate People,2775593,12031443,,28000000,Oct 03 2008,R,Adapted screenplay,Comedy,Fiction,36,6.7,25756
The Quiet American,12987647,12987647,,20000000,Nov 22 2002,R,Adapted screenplay,Drama,Fiction,87,7.2,14285
They Live,13000000,13000000,,4000000,Nov 04 1988,,Adapted screenplay,Horror/Thriller,Fiction,88,7,20995
Angela's Ashes,13038660,13038660,,25000000,Dec 24 1999,R,Adapted screenplay,Drama,Fiction,52,7,10185
Whip It,13043363,13043363,6310163,15000000,Oct 02 2009,PG/PG-13,Adapted screenplay,Comedy,Fiction,84,7.1,14068
"Kiss Kiss, Bang Bang",4235837,13105837,6863163,15000000,Oct 21 2005,R,Adapted screenplay,Comedy,Fiction,83,,
One Night with the King,13395961,13395961,20554010,20000000,Oct 13 2006,PG/PG-13,Adapted screenplay,Drama,Fiction,16,6,2993
The Deep End of the Ocean,13508635,13508635,,40000000,Mar 12 1999,PG/PG-13,Adapted screenplay,Drama,Fiction,42,6,5790
The Little Vampire,13555988,13555988,,22000000,Oct 27 2000,PG/PG-13,Adapted screenplay,Comedy,Fiction,53,5.3,2202
Fear and Loathing in Las Vegas,10680275,13711903,,18500000,May 22 1998,R,Adapted screenplay,Comedy,Non-Fiction,47,7.6,81560
The Man Who Knew Too Little,13801755,13801755,,20000000,Nov 14 1997,PG/PG-13,Adapted screenplay,Comedy,Fiction,40,6.3,11307
Creepshow 2,14000000,14000000,,3500000,May 01 1987,,Adapted screenplay,Horror/Thriller,Fiction,26,5.4,5910
How to Deal,14108518,14108518,,16000000,Jul 18 2003,PG/PG-13,Adapted screenplay,Drama,Fiction,29,5.4,5292
Memoirs of an Invisible Man,14358033,14358033,,40000000,Feb 28 1992,,Adapted screenplay,Comedy,Fiction,24,5.8,8522
Snow Falling on Cedars,14378353,14378353,,36000000,Dec 24 1999,PG/PG-13,Adapted screenplay,Drama,Fiction,40,6.7,8444
Flight of the Intruder,14471440,14471440,,35000000,Jan 18 1991,,Adapted screenplay,Action/Adventure,Fiction,,5.3,2592
Blindness,3073392,14542658,,25000000,Oct 03 2008,R,Adapted screenplay,Horror/Thriller,Fiction,42,6.6,25508
Hellraiser,14564000,14564000,,1000000,Sep 18 1987,,Adapted screenplay,Horror/Thriller,Fiction,63,7,22442
Little Children,5463019,14763019,3657245,14000000,Oct 06 2006,R,Adapted screenplay,Drama,Fiction,79,7.8,37162
Possession,10103647,14805812,,25000000,Aug 16 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,64,6.4,6789
Arn - Tempelriddaren,0,14900000,,16500000,Dec 25 2007,R,Adapted screenplay,Action/Adventure,Fiction,,6.4,6251
Election,14943582,14943582,,8500000,Apr 23 1999,R,Adapted screenplay,Comedy,Fiction,92,7.4,37454
Obitaemyy ostrov,0,15000000,,36500000,Jan 01 2009,,Adapted screenplay,Action/Adventure,Fiction,,5.5,2229
The Assassination of Jesse James by the Coward Robert Ford,3909149,15001776,9871881,30000000,Sep 21 2007,R,Adapted screenplay,Western/Musical,Non-Fiction,75,7.7,57465
Haakon Haakonsen,15024232,15024232,,8500000,Mar 01 1991,,Adapted screenplay,Action/Adventure,Fiction,,6.4,1125
Iris,5580479,15035827,,5500000,Dec 14 2001,R,Adapted screenplay,Drama,Non-Fiction,79,5.8,44
The Painted Veil,8060487,15118795,7574035,19400000,Dec 20 2006,PG/PG-13,Adapted screenplay,Drama,Fiction,74,7.6,26331
Thinner,15171475,15171475,,14000000,Oct 25 1996,R,Adapted screenplay,Horror/Thriller,Fiction,18,5.3,7888
The Greatest Game Ever Played,15331289,15425073,37687804,25000000,Sep 30 2005,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,62,7.3,7876
The Greatest Story Ever Told,15473333,15473333,,20000000,Feb 15 1965,G,Adapted screenplay,Drama,,39,6.3,3300
The Island,15716828,15716828,,22000000,Jun 13 1980,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,,6.9,82601
Jaws 4: The Revenge,15728335,15728335,,23000000,Jul 17 1987,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,,2.6,15632
Thomas and the Magic Railroad,15911332,15911332,,19000000,Jul 26 2000,G,Adapted screenplay,Action/Adventure,Fiction,19,2.7,1613
The Ice Storm,8038061,16011975,,18000000,Sep 27 1997,R,Adapted screenplay,Drama,Fiction,82,7.5,27544
"Bright Lights, Big City",16118077,16118077,,25000000,Apr 01 1988,R,Adapted screenplay,Drama,Fiction,61,6.8,11929
The Emperor's Club,14060950,16124074,,12500000,Nov 22 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,50,6.7,8165
House of Sand and Fog,13005485,16157923,,16500000,Dec 19 2003,R,Adapted screenplay,Drama,Fiction,75,7.8,29777
Rabbit-Proof Fence,6199600,16199600,,7000000,Nov 29 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,87,7.6,13241
A Simple Plan,16316273,16316273,,17000000,Dec 11 1998,R,Adapted screenplay,Drama,Fiction,90,7.6,29095
"I Love You, Beth Cooper",14800725,16382538,5475072,18000000,Jul 10 2009,PG/PG-13,Adapted screenplay,Comedy,Fiction,,5.9,179
Original Sin,16521410,16521410,,26000000,Aug 03 2001,R,Adapted screenplay,Horror/Thriller,Fiction,12,5.6,15939
Bringing Out The Dead,16640210,16640210,,32000000,Oct 22 1999,R,Adapted screenplay,Comedy,Fiction,71,6.8,31079
Extreme Measures,17378193,17378193,,38000000,Sep 27 1996,R,Adapted screenplay,Drama,Fiction,55,5.9,8038
Youth in Revolt,15285588,17585588,3654607,18000000,Jan 08 2010,R,Adapted screenplay,Comedy,Fiction,,6.7,14670
The Postman,17650704,17650704,,80000000,Dec 25 1997,R,Adapted screenplay,Action/Adventure,Fiction,10,5.5,24045
The Rage: Carrie 2,17760244,17760244,,21000000,Mar 12 1999,R,Adapted screenplay,Horror/Thriller,Fiction,16,4.3,7235
Everything You Always Wanted to Know,18016290,18016290,,2000000,Aug 11 1972,,Adapted screenplay,Comedy,,,,
All the Pretty Horses,15527125,18120267,,45000000,Dec 25 2000,PG/PG-13,Adapted screenplay,Western/Musical,Fiction,32,5.7,6511
Simon Birch,18253415,18253415,,20000000,Sep 11 1998,PG/PG-13,Adapted screenplay,Drama,Fiction,44,6.7,11371
The Fan,18582965,18582965,,55000000,Aug 16 1996,R,Adapted screenplay,Horror/Thriller,Fiction,40,5.6,20640
Anywhere But Here,18653615,18653615,,23000000,Nov 12 1999,PG/PG-13,Adapted screenplay,Drama,Fiction,64,5.9,8514
The Merchant of Venice,3765585,18765585,,30000000,Dec 29 2004,R,Adapted screenplay,Drama,Fiction,,7.1,14021
A Mighty Heart,9176787,18932117,5455645,15000000,Jun 22 2007,R,Adapted screenplay,Drama,Non-Fiction,78,6.7,13881
The Boys from Brazil,19000000,19000000,,12000000,Dec 31 1977,,Adapted screenplay,Horror/Thriller,,65,7,8741
A Single Man,9176000,19112672,2010869,7000000,Dec 11 2009,R,Adapted screenplay,Drama,Fiction,85,7.6,14548
Vanity Fair,16123851,19123851,,23000000,Sep 01 2004,PG/PG-13,Adapted screenplay,Drama,Fiction,50,6.2,9343
A Christmas Story,19294144,19294144,,3250000,Nov 18 1983,PG/PG-13,Adapted screenplay,Comedy,Fiction,88,8,51757
Tuck Everlasting,19161999,19344615,,15000000,Oct 11 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,61,6.5,6639
Le Scaphandre et le Papillon,5990075,19689095,2354497,14000000,Nov 30 2007,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,,8,31172
Amelia,14246488,19722782,5763807,40000000,Oct 23 2009,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,21,5.7,3238
Young Sherlock Holmes,19739000,19739000,,18000000,Dec 04 1985,,Adapted screenplay,Action/Adventure,Fiction,63,6.5,7293
Barry Lyndon,20000000,20000000,,11000000,Dec 31 1974,,Adapted screenplay,Drama,,94,8.1,39909
Creepshow,20036244,20036244,,8000000,Nov 10 1982,,Adapted screenplay,Horror/Thriller,Fiction,67,6.5,12530
Multiplicity,20133326,20133326,,45000000,Jul 17 1996,PG/PG-13,Adapted screenplay,Comedy,Fiction,44,5.7,11935
The Namesake,13610521,20180109,9364773,8500000,Mar 09 2007,PG/PG-13,Adapted screenplay,Drama,Fiction,,7.5,9700
Vampires,20268825,20268825,,20000000,Oct 30 1998,R,Adapted screenplay,Horror/Thriller,Fiction,33,6.8,54
Valentine,20384136,20384136,,10000000,Feb 02 2001,R,Adapted screenplay,Horror/Thriller,Fiction,9,4.3,11435
The Dead Zone,20766000,20766000,,10000000,Oct 21 1983,,Adapted screenplay,Horror/Thriller,Fiction,,7.3,19485
La Guerre du feu,20959585,20959585,,12500000,Feb 12 1982,,Adapted screenplay,Action/Adventure,Fiction,,7.4,6198
A Stir of Echoes,21133087,21133087,,12000000,Sep 10 1999,R,Adapted screenplay,Horror/Thriller,Fiction,,7.1,26752
Die Unendliche Geschichte,21300000,21300000,,27000000,Jul 20 1984,,Adapted screenplay,Action/Adventure,Fiction,,7.4,25704
The Last Legion,5932060,21439015,,67000000,Aug 17 2007,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,17,5.4,12250
The Right Stuff,21500000,21500000,,27000000,Oct 21 1983,,Adapted screenplay,Action/Adventure,Non-Fiction,97,7.9,24275
White Oleander,16357770,21657770,,16000000,Oct 11 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,69,7,13755
Flicka,21000147,21893591,49974754,15000000,Oct 20 2006,PG/PG-13,Adapted screenplay,Drama,Fiction,54,5.7,2832
Bride & Prejudice,6601079,22064531,,7000000,Feb 11 2005,PG/PG-13,Adapted screenplay,Western/Musical,Fiction,,6.2,9442
Girl with a Pearl Earring,11634362,22106210,,12000000,Dec 12 2003,PG/PG-13,Adapted screenplay,Drama,Fiction,71,7.1,23493
Three Kingdoms: Resurrection of the Dragon,0,22139590,,20000000,Apr 03 2008,R,Adapted screenplay,Action/Adventure,Fiction,,,
Easy A,21056221,22156221,,8000000,Sep 17 2010,PG/PG-13,Adapted screenplay,Comedy,Fiction,80,7.7,483
The Ruins,17432844,22177122,10610865,25000000,Apr 04 2008,R,Adapted screenplay,Horror/Thriller,Fiction,47,6,23752
