Title,US Gross,Worldwide Gross,Production Budget,Release Date,MPAA Rating,Source,Major Genre,Creative Type,IMDB Rating,IMDB Votes
How to Lose Friends & Alienate People,2775593,12031443,28000000,Oct 03 2008,R,Adapted screenplay,Comedy,Fiction,6.7,25756
The Quiet American,12987647,12987647,20000000,Nov 22 2002,R,Adapted screenplay,Drama,Fiction,7.2,14285
Angela's Ashes,13038660,13038660,25000000,Dec 24 1999,R,Adapted screenplay,Drama,Fiction,7,10185
Whip It,13043363,13043363,15000000,Oct 02 2009,PG/PG-13,Adapted screenplay,Comedy,Fiction,7.1,14068
One Night with the King,13395961,13395961,20000000,Oct 13 2006,PG/PG-13,Adapted screenplay,Drama,Fiction,6,2993
The Deep End of the Ocean,13508635,13508635,40000000,Mar 12 1999,PG/PG-13,Adapted screenplay,Drama,Fiction,6,5790
The Little Vampire,13555988,13555988,22000000,Oct 27 2000,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.3,2202
Fear and Loathing in Las Vegas,10680275,13711903,18500000,May 22 1998,R,Adapted screenplay,Comedy,Non-Fiction,7.6,81560
The Man Who Knew Too Little,13801755,13801755,20000000,Nov 14 1997,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.3,11307
How to Deal,14108518,14108518,16000000,Jul 18 2003,PG/PG-13,Adapted screenplay,Drama,Fiction,5.4,5292
Snow Falling on Cedars,14378353,14378353,36000000,Dec 24 1999,PG/PG-13,Adapted screenplay,Drama,Fiction,6.7,8444
Blindness,3073392,14542658,25000000,Oct 03 2008,R,Adapted screenplay,Horror/Thriller,Fiction,6.6,25508
Little Children,5463019,14763019,14000000,Oct 06 2006,R,Adapted screenplay,Drama,Fiction,7.8,37162
Possession,10103647,14805812,25000000,Aug 16 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,6.4,6789
Arn - Tempelriddaren,0,14900000,16500000,Dec 25 2007,R,Adapted screenplay,Action/Adventure,Fiction,6.4,6251
Election,14943582,14943582,8500000,Apr 23 1999,R,Adapted screenplay,Comedy,Fiction,7.4,37454
The Assassination of Jesse James by the Coward Robert Ford,3909149,15001776,30000000,Sep 21 2007,R,Adapted screenplay,Western/Musical,Non-Fiction,7.7,57465
Iris,5580479,15035827,5500000,Dec 14 2001,R,Adapted screenplay,Drama,Non-Fiction,5.8,44
The Painted Veil,8060487,15118795,19400000,Dec 20 2006,PG/PG-13,Adapted screenplay,Drama,Fiction,7.6,26331
Thinner,15171475,15171475,14000000,Oct 25 1996,R,Adapted screenplay,Horror/Thriller,Fiction,5.3,7888
The Greatest Game Ever Played,15331289,15425073,25000000,Sep 30 2005,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,7.3,7876
The Island,15716828,15716828,22000000,Jun 13 1980,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.9,82601
Jaws 4: The Revenge,15728335,15728335,23000000,Jul 17 1987,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,2.6,15632
Thomas and the Magic Railroad,15911332,15911332,19000000,Jul 26 2000,G,Adapted screenplay,Action/Adventure,Fiction,2.7,1613
The Ice Storm,8038061,16011975,18000000,Sep 27 1997,R,Adapted screenplay,Drama,Fiction,7.5,27544
"Bright Lights, Big City",16118077,16118077,25000000,Apr 01 1988,R,Adapted screenplay,Drama,Fiction,6.8,11929
The Emperor's Club,14060950,16124074,12500000,Nov 22 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,6.7,8165
House of Sand and Fog,13005485,16157923,16500000,Dec 19 2003,R,Adapted screenplay,Drama,Fiction,7.8,29777
Rabbit-Proof Fence,6199600,16199600,7000000,Nov 29 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,7.6,13241
A Simple Plan,16316273,16316273,17000000,Dec 11 1998,R,Adapted screenplay,Drama,Fiction,7.6,29095
"I Love You, Beth Cooper",14800725,16382538,18000000,Jul 10 2009,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.9,179
Original Sin,16521410,16521410,26000000,Aug 03 2001,R,Adapted screenplay,Horror/Thriller,Fiction,5.6,15939
Bringing Out The Dead,16640210,16640210,32000000,Oct 22 1999,R,Adapted screenplay,Comedy,Fiction,6.8,31079
Extreme Measures,17378193,17378193,38000000,Sep 27 1996,R,Adapted screenplay,Drama,Fiction,5.9,8038
Youth in Revolt,15285588,17585588,18000000,Jan 08 2010,R,Adapted screenplay,Comedy,Fiction,6.7,14670
The Postman,17650704,17650704,80000000,Dec 25 1997,R,Adapted screenplay,Action/Adventure,Fiction,5.5,24045
The Rage: Carrie 2,17760244,17760244,21000000,Mar 12 1999,R,Adapted screenplay,Horror/Thriller,Fiction,4.3,7235
All the Pretty Horses,15527125,18120267,45000000,Dec 25 2000,PG/PG-13,Adapted screenplay,Western/Musical,Fiction,5.7,6511
Simon Birch,18253415,18253415,20000000,Sep 11 1998,PG/PG-13,Adapted screenplay,Drama,Fiction,6.7,11371
The Fan,18582965,18582965,55000000,Aug 16 1996,R,Adapted screenplay,Horror/Thriller,Fiction,5.6,20640
Anywhere But Here,18653615,18653615,23000000,Nov 12 1999,PG/PG-13,Adapted screenplay,Drama,Fiction,5.9,8514
The Merchant of Venice,3765585,18765585,30000000,Dec 29 2004,R,Adapted screenplay,Drama,Fiction,7.1,14021
A Mighty Heart,9176787,18932117,15000000,Jun 22 2007,R,Adapted screenplay,Drama,Non-Fiction,6.7,13881
A Single Man,9176000,19112672,7000000,Dec 11 2009,R,Adapted screenplay,Drama,Fiction,7.6,14548
Vanity Fair,16123851,19123851,23000000,Sep 01 2004,PG/PG-13,Adapted screenplay,Drama,Fiction,6.2,9343
A Christmas Story,19294144,19294144,3250000,Nov 18 1983,PG/PG-13,Adapted screenplay,Comedy,Fiction,8,51757
Tuck Everlasting,19161999,19344615,15000000,Oct 11 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,6.5,6639
Le Scaphandre et le Papillon,5990075,19689095,14000000,Nov 30 2007,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,8,31172
Amelia,14246488,19722782,40000000,Oct 23 2009,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,5.7,3238
Multiplicity,20133326,20133326,45000000,Jul 17 1996,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.7,11935
The Namesake,13610521,20180109,8500000,Mar 09 2007,PG/PG-13,Adapted screenplay,Drama,Fiction,7.5,9700
Vampires,20268825,20268825,20000000,Oct 30 1998,R,Adapted screenplay,Horror/Thriller,Fiction,6.8,54
Valentine,20384136,20384136,10000000,Feb 02 2001,R,Adapted screenplay,Horror/Thriller,Fiction,4.3,11435
A Stir of Echoes,21133087,21133087,12000000,Sep 10 1999,R,Adapted screenplay,Horror/Thriller,Fiction,7.1,26752
The Last Legion,5932060,21439015,67000000,Aug 17 2007,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.4,12250
White Oleander,16357770,21657770,16000000,Oct 11 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,7,13755
Flicka,21000147,21893591,15000000,Oct 20 2006,PG/PG-13,Adapted screenplay,Drama,Fiction,5.7,2832
Bride & Prejudice,6601079,22064531,7000000,Feb 11 2005,PG/PG-13,Adapted screenplay,Western/Musical,Fiction,6.2,9442
Girl with a Pearl Earring,11634362,22106210,12000000,Dec 12 2003,PG/PG-13,Adapted screenplay,Drama,Fiction,7.1,23493
Easy A,21056221,22156221,8000000,Sep 17 2010,PG/PG-13,Adapted screenplay,Comedy,Fiction,7.7,483
The Ruins,17432844,22177122,25000000,Apr 04 2008,R,Adapted screenplay,Horror/Thriller,Fiction,6,23752
Adaptation,22498520,22498520,18500000,Dec 06 2002,R,Adapted screenplay,Comedy,Fiction,7.9,67135
Drive Me Crazy,17843379,22591451,8000000,Oct 01 1999,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.1,6968
The Juror,22730924,22730924,44000000,Feb 02 1996,R,Adapted screenplay,Horror/Thriller,Fiction,5.3,6482
Beloved,22852487,22852487,53000000,Oct 16 1998,R,Adapted screenplay,Drama,Fiction,5.3,102
Ella Enchanted,22913677,22913677,35000000,Apr 09 2004,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.3,12020
Aquamarine,18597342,22978953,17000000,Mar 03 2006,PG/PG-13,Adapted screenplay,Comedy,Fiction,4.6,9116
In the Cut,4717455,23693646,12000000,Oct 22 2003,R,Adapted screenplay,Horror/Thriller,Fiction,5.2,11590
The Road,8114270,23914270,25000000,Nov 25 2009,R,Adapted screenplay,Drama,Fiction,7.5,39124
25th Hour,13084595,23928503,4500000,Dec 19 2002,R,Adapted screenplay,Drama,Fiction,7.9,58781
Trainspotting,16501785,24000785,3100000,Jul 19 1996,R,Adapted screenplay,Drama,Fiction,8.2,150483
The Action/Adventures of Huck Finn,24103594,24103594,6500000,Apr 02 1993,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.8,3095
The Shipping News,11405825,24405825,35000000,Dec 25 2001,R,Adapted screenplay,Drama,Fiction,6.7,17338
Midnight in the Garden of Good and Evil,25078937,25078937,35000000,Nov 21 1997,R,Adapted screenplay,Drama,Fiction,6.5,18960
The Outsiders,25697647,25697647,10000000,Mar 25 1983,PG/PG-13,Adapted screenplay,Drama,Fiction,7,23607
Appaloosa,20211394,26111394,20000000,Sep 19 2008,R,Adapted screenplay,Western/Musical,Fiction,6.8,22836
Blood Work,26199517,26199517,50000000,Aug 09 2002,R,Adapted screenplay,Horror/Thriller,Fiction,6.3,16751
The Box,15051977,26341896,25000000,Nov 06 2009,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,6.8,418
Harriet the Spy,26570048,26570048,13000000,Jul 10 1996,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.8,2963
Oliver Twist,2070920,26670920,65000000,Sep 23 2005,PG/PG-13,Adapted screenplay,Drama,Fiction,7,10748
Timeline,19480739,26703184,80000000,Nov 26 2003,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.3,19318
One True Thing,23337196,26708196,30000000,Sep 18 1998,R,Adapted screenplay,Drama,Fiction,6.9,5591
Eye for an Eye,26792700,26792700,20000000,Jan 12 1996,R,Adapted screenplay,Drama,Fiction,5.7,4837
The Musketeer,27053815,27053815,40000000,Sep 07 2001,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,4.4,7812
The Island of Dr. Moreau,27682712,27682712,40000000,Aug 23 1996,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,4.1,13770
To Die For,21284514,27688744,20000000,Sep 27 1995,R,Adapted screenplay,Comedy,Fiction,6.8,18459
An American Haunting,16298046,27844063,14000000,May 05 2006,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,4.9,13510
The Wizard of Oz,28202232,28202232,2777000,Aug 25 2039,G,Adapted screenplay,Western/Musical,Fiction,8.3,102795
The Shawshank Redemption,28241469,28241469,25000000,Sep 23 1994,R,Adapted screenplay,Drama,Fiction,9.2,519541
American Psycho,15070285,28674417,8000000,Apr 14 2000,R,Adapted screenplay,Comedy,Fiction,7.4,99424
Cidade de Deus,7563397,28763397,3300000,Jan 17 2003,R,Adapted screenplay,Drama,Fiction,8.8,166897
The Player,21706101,28876702,8000000,Apr 10 1992,R,Adapted screenplay,Comedy,Fiction,7.7,24451
The Object of my Affection,29145924,29145924,15000000,Apr 17 1998,R,Adapted screenplay,Comedy,Fiction,5.9,8492
The Pledge,19719930,29406132,45000000,Jan 19 2001,R,Adapted screenplay,Drama,Fiction,6.9,22609
Battlefield Earth: A Saga of the Year 3000,21471685,29725663,80000000,May 12 2000,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,2.3,39316
The Four Feathers,18306166,29882645,35000000,Sep 20 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,6.3,13204
Queen of the Damned,30307804,30307804,35000000,Feb 22 2002,R,Adapted screenplay,Horror/Thriller,Fiction,4.7,20268
Hearts in Atlantis,24185781,30885781,31000000,Sep 28 2001,PG/PG-13,Adapted screenplay,Drama,Fiction,6.8,16336
Love in the Time of Cholera,4617608,31077418,45000000,Nov 16 2007,R,Adapted screenplay,Drama,Fiction,6.2,8580
The Iron Giant,23159305,31333917,50000000,Aug 04 1999,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.9,38791
Nick and Norah's Infinite Playlist,31487293,31487293,10000000,Oct 03 2008,PG/PG-13,Adapted screenplay,Drama,Fiction,6.8,24021
Pinocchio,3681811,31681811,45000000,Dec 25 2002,G,Adapted screenplay,Action/Adventure,Fiction,3.5,3215
Striptease,32773011,32773011,50000000,Jun 28 1996,R,Adapted screenplay,Comedy,Fiction,3.9,18012
Mercury Rising,32983332,32983332,60000000,Apr 03 1998,R,Adapted screenplay,Horror/Thriller,Fiction,5.8,21449
Confessions of a Dangerous Mind,16007718,33013805,29000000,Dec 31 2002,R,Adapted screenplay,Drama,Non-Fiction,7.1,36258
Confessions of a Teenage Drama Queen,29331068,33051296,15000000,Feb 20 2004,PG/PG-13,Adapted screenplay,Comedy,Fiction,4.3,9976
Hart's War,19076815,33076815,70000000,Feb 15 2002,R,Adapted screenplay,Drama,Fiction,6.2,19541
Blade Runner,32656328,33139618,28000000,Jun 25 1982,R,Adapted screenplay,Horror/Thriller,Fiction,8.3,185546
The Town,30980607,33180607,37000000,Sep 17 2010,R,Adapted screenplay,Drama,Fiction,8.7,493
Wonder Boys,19389454,33422485,35000000,Feb 23 2000,R,Adapted screenplay,Comedy,Fiction,7.5,31572
Pay it Forward,33508922,33508922,40000000,Oct 20 2000,PG/PG-13,Adapted screenplay,Drama,Fiction,6.8,36762
Because of Winn-Dixie,32647042,33589427,15000000,Feb 18 2005,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.1,3720
Nochnoy dozor,1502188,33923550,4200000,Feb 17 2006,Other,Adapted screenplay,Action/Adventure,Fiction,6.5,25136
The Relic,33956608,33956608,60000000,Jan 10 1997,R,Adapted screenplay,Horror/Thriller,Fiction,5.4,10249
Cirque du Freak: The Vampire's Assistant,14046595,34372469,40000000,Oct 23 2009,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.1,9539
The Indian in the Cupboard,35627222,35627222,45000000,Jul 14 1995,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.7,4836
Alive,36299670,36299670,32000000,Jan 15 1993,R,Adapted screenplay,Action/Adventure,Non-Fiction,3.2,124
The Thin Red Line,36400491,36400491,52000000,Dec 23 1998,R,Adapted screenplay,Drama,Non-Fiction,7.5,60966
The Action/Adventures of Pinocchio,15382170,36682170,25000000,Jul 26 1996,G,Adapted screenplay,Action/Adventure,Fiction,5.3,1734
Out of Sight,37562568,37562568,48000000,Jun 26 1998,R,Adapted screenplay,Drama,Fiction,7.1,38263
How Stella Got Her Groove Back,37672944,37672944,20000000,Aug 14 1998,R,Adapted screenplay,Drama,Fiction,5.1,3080
Emma,22231658,37831658,5900000,Aug 02 1996,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.8,13798
Quest for Camelot,22772500,38172500,40000000,May 15 1998,G,Adapted screenplay,Action/Adventure,Fiction,5,3053
The Missing,26900336,38253433,65000000,Nov 26 2003,R,Adapted screenplay,Western/Musical,Fiction,7.4,19068
Someone Like You,27338033,38684906,23000000,Mar 30 2001,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.8,10073
Whale Rider,20779666,38833352,4300000,Jun 06 2003,PG/PG-13,Adapted screenplay,Drama,Fiction,7.7,21814
Primary Colors,39017984,39017984,65000000,Mar 20 1998,R,Adapted screenplay,Comedy,Non-Fiction,6.7,15340
Thank You For Smoking,24793509,39232211,7500000,Mar 17 2006,R,Adapted screenplay,Comedy,Fiction,7.8,65340
The Legend of Bagger Vance,30695227,39235486,60000000,Nov 03 2000,PG/PG-13,Adapted screenplay,Drama,Fiction,6.4,21995
Anna and the King,39251128,39251128,75000000,Dec 17 1999,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.5,14881
The Secret Life of Bees,37766350,39612166,11000000,Oct 17 2008,PG/PG-13,Adapted screenplay,Drama,Fiction,7,7077
Memento,25544867,39665950,5000000,Mar 16 2001,R,Adapted screenplay,Drama,Fiction,8.7,274524
The Beach,39778599,39778599,50000000,Feb 11 2000,R,Adapted screenplay,Drama,Fiction,4.5,229
The Boy in the Striped Pyjamas,9030581,39830581,12500000,Nov 07 2008,PG/PG-13,Adapted screenplay,Drama,Fiction,7.8,21683
I Still Know What You Did Last Summer,40020622,40020622,24000000,Nov 13 1998,R,Adapted screenplay,Horror/Thriller,Fiction,4.1,23268
