Year,State,Description,value
1997,New Jersey,Compensation (millions of dollars),169602.2
1997,New Mexico,Chain-type quantity indexes for real GDP,76.526
1997,New Mexico,Compensation (millions of dollars),23002.3
1997,New York,Chain-type quantity indexes for real GDP,73.616
1997,New York,Compensation (millions of dollars),384483
1997,North Carolina,Chain-type quantity indexes for real GDP,70.917
1997,North Carolina,Compensation (millions of dollars),126356.7
1997,North Dakota,Chain-type quantity indexes for real GDP,43.241
1997,North Dakota,Compensation (millions of dollars),8802.2
1997,Ohio,Chain-type quantity indexes for real GDP,86.387
1997,Ohio,Compensation (millions of dollars),196108.7
1997,Oklahoma,Chain-type quantity indexes for real GDP,65.812
1997,Oklahoma,Compensation (millions of dollars),43635
1997,Oregon,Chain-type quantity indexes for real GDP,67.785
1997,Oregon,Compensation (millions of dollars),56134.9
1997,Pennsylvania,Chain-type quantity indexes for real GDP,76.654
1997,Pennsylvania,Compensation (millions of dollars),203876.8
1997,Rhode Island,Chain-type quantity indexes for real GDP,77.828
1997,Rhode Island,Compensation (millions of dollars),16428.1
1997,South Carolina,Chain-type quantity indexes for real GDP,75.785
1997,South Carolina,Compensation (millions of dollars),55458.4
1997,South Dakota,Chain-type quantity indexes for real GDP,56.835
1997,South Dakota,Compensation (millions of dollars),9615.1
1997,Tennessee,Chain-type quantity indexes for real GDP,73.562
1997,Tennessee,Compensation (millions of dollars),86590.2
1997,Texas,Chain-type quantity indexes for real GDP,61.268
1997,Texas,Compensation (millions of dollars),316948.8
1997,Utah,Chain-type quantity indexes for real GDP,62.279
1997,Utah,Compensation (millions of dollars),32626
1997,Vermont,Chain-type quantity indexes for real GDP,68.565
1997,Vermont,Compensation (millions of dollars),8866.2
1997,Virginia,Chain-type quantity indexes for real GDP,67.027
1997,Virginia,Compensation (millions of dollars),125343.1
1997,Washington,Chain-type quantity indexes for real GDP,67.728
1997,Washington,Compensation (millions of dollars),104320.1
1997,West Virginia,Chain-type quantity indexes for real GDP,83.806
1997,West Virginia,Compensation (millions of dollars),21794.7
1997,Wisconsin,Chain-type quantity indexes for real GDP,75.462
1997,Wisconsin,Compensation (millions of dollars),91523
1997,Wyoming,Chain-type quantity indexes for real GDP,64.239
1997,Wyoming,Compensation (millions of dollars),6990.9
1998,Alabama,Chain-type quantity indexes for real GDP,79.034
1998,Alabama,Compensation (millions of dollars),64168.6
1998,Alaska,Chain-type quantity indexes for real GDP,70.51
1998,Alaska,Compensation (millions of dollars),12889.6
1998,Arizona,Chain-type quantity indexes for real GDP,67.441
1998,Arizona,Compensation (millions of dollars),77166
1998,Arkansas,Chain-type quantity indexes for real GDP,77.951
1998,Arkansas,Compensation (millions of dollars),34880.9
1998,California,Chain-type quantity indexes for real GDP,69.506
1998,California,Compensation (millions of dollars),625411.7
1998,Colorado,Chain-type quantity indexes for real GDP,72.494
1998,Colorado,Compensation (millions of dollars),83882.3
1998,Connecticut,Chain-type quantity indexes for real GDP,81.52
1998,Connecticut,Compensation (millions of dollars),82629.7
1998,Delaware,Chain-type quantity indexes for real GDP,80.883
1998,Delaware,Compensation (millions of dollars),16806.6
1998,District of Columbia,Chain-type quantity indexes for real GDP,72.411
1998,District of Columbia,Compensation (millions of dollars),37987.6
1998,Florida,Chain-type quantity indexes for real GDP,75.522
1998,Florida,Compensation (millions of dollars),240582.2
1998,Georgia,Chain-type quantity indexes for real GDP,78.718
1998,Georgia,Compensation (millions of dollars),145064.5
1998,Hawaii,Chain-type quantity indexes for real GDP,75.662
1998,Hawaii,Compensation (millions of dollars),21564.4
1998,Idaho,Chain-type quantity indexes for real GDP,66.517
1998,Idaho,Compensation (millions of dollars),17240.6
1998,Illinois,Chain-type quantity indexes for real GDP,81.996
1998,Illinois,Compensation (millions of dollars),254033.1
1998,Indiana,Chain-type quantity indexes for real GDP,81.752
1998,Indiana,Compensation (millions of dollars),104953.8
1998,Iowa,Chain-type quantity indexes for real GDP,71.962
1998,Iowa,Compensation (millions of dollars),46424.7
1998,Kansas,Chain-type quantity indexes for real GDP,76.283
1998,Kansas,Compensation (millions of dollars),45547.8
1998,Kentucky,Chain-type quantity indexes for real GDP,84.636
1998,Kentucky,Compensation (millions of dollars),58587
1998,Louisiana,Chain-type quantity indexes for real GDP,88.201
1998,Louisiana,Compensation (millions of dollars),64270
1998,Maine,Chain-type quantity indexes for real GDP,82.229
1998,Maine,Compensation (millions of dollars),18796.1
1998,Maryland,Chain-type quantity indexes for real GDP,69.711
1998,Maryland,Compensation (millions of dollars),99146
1998,Massachusetts,Chain-type quantity indexes for real GDP,71.129
1998,Massachusetts,Compensation (millions of dollars),146259.9
1998,Michigan,Chain-type quantity indexes for real GDP,96.063
1998,Michigan,Compensation (millions of dollars),189196.4
1998,Minnesota,Chain-type quantity indexes for real GDP,74.969
1998,Minnesota,Compensation (millions of dollars),100335.7
1998,Mississippi,Chain-type quantity indexes for real GDP,84.813
1998,Mississippi,Compensation (millions of dollars),34934.6
1998,Missouri,Chain-type quantity indexes for real GDP,85.327
1998,Missouri,Compensation (millions of dollars),96638.5
1998,Montana,Chain-type quantity indexes for real GDP,71.662
1998,Montana,Compensation (millions of dollars),10988.6
1998,Nebraska,Chain-type quantity indexes for real GDP,70.177
1998,Nebraska,Compensation (millions of dollars),29083.8
1998,Nevada,Chain-type quantity indexes for real GDP,73.212
1998,Nevada,Compensation (millions of dollars),36103.2
1998,New Hampshire,Chain-type quantity indexes for real GDP,75.241
1998,New Hampshire,Compensation (millions of dollars),22064.3
1998,New Jersey,Chain-type quantity indexes for real GDP,83.83
1998,New Jersey,Compensation (millions of dollars),182590.3
1998,New Mexico,Chain-type quantity indexes for real GDP,76.137
1998,New Mexico,Compensation (millions of dollars),24255.7
1998,New York,Chain-type quantity indexes for real GDP,75.081
1998,New York,Compensation (millions of dollars),413587.1
1998,North Carolina,Chain-type quantity indexes for real GDP,73.419
1998,North Carolina,Compensation (millions of dollars),135943.1
1998,North Dakota,Chain-type quantity indexes for real GDP,45.676
1998,North Dakota,Compensation (millions of dollars),9277.7
1998,Ohio,Chain-type quantity indexes for real GDP,89.334
1998,Ohio,Compensation (millions of dollars),207545.9
1998,Oklahoma,Chain-type quantity indexes for real GDP,67.246
1998,Oklahoma,Compensation (millions of dollars),46522
1998,Oregon,Chain-type quantity indexes for real GDP,71.012
1998,Oregon,Compensation (millions of dollars),59510.4
1998,Pennsylvania,Chain-type quantity indexes for real GDP,78.643
1998,Pennsylvania,Compensation (millions of dollars),216198
1998,Rhode Island,Chain-type quantity indexes for real GDP,81.253
1998,Rhode Island,Compensation (millions of dollars),17496.4
1998,South Carolina,Chain-type quantity indexes for real GDP,78.554
1998,South Carolina,Compensation (millions of dollars),59612.8
1998,South Dakota,Chain-type quantity indexes for real GDP,60.227
1998,South Dakota,Compensation (millions of dollars),10281.7
1998,Tennessee,Chain-type quantity indexes for real GDP,78.127
1998,Tennessee,Compensation (millions of dollars),92075.9
1998,Texas,Chain-type quantity indexes for real GDP,65.126
1998,Texas,Compensation (millions of dollars),348986.9
1998,Utah,Chain-type quantity indexes for real GDP,66.19
1998,Utah,Compensation (millions of dollars),35033
1998,Vermont,Chain-type quantity indexes for real GDP,70.715
1998,Vermont,Compensation (millions of dollars),9457.9
1998,Virginia,Chain-type quantity indexes for real GDP,70.652
1998,Virginia,Compensation (millions of dollars),135293.3
1998,Washington,Chain-type quantity indexes for real GDP,71.956
1998,Washington,Compensation (millions of dollars),115293.1
1998,West Virginia,Chain-type quantity indexes for real GDP,85.105
1998,West Virginia,Compensation (millions of dollars),22607.4
1998,Wisconsin,Chain-type quantity indexes for real GDP,78.293
1998,Wisconsin,Compensation (millions of dollars),97435.1
1998,Wyoming,Chain-type quantity indexes for real GDP,65.706
1998,Wyoming,Compensation (millions of dollars),7345.3
1999,Alabama,Chain-type quantity indexes for real GDP,81.851
1999,Alabama,Compensation (millions of dollars),67225.1
1999,Alaska,Chain-type quantity indexes for real GDP,69.643
1999,Alaska,Compensation (millions of dollars),13127.5
1999,Arizona,Chain-type quantity indexes for real GDP,73.202
1999,Arizona,Compensation (millions of dollars),82849.8
1999,Arkansas,Chain-type quantity indexes for real GDP,82.14
1999,Arkansas,Compensation (millions of dollars),36741
1999,California,Chain-type quantity indexes for real GDP,74.502
1999,California,Compensation (millions of dollars),681068.5
1999,Colorado,Chain-type quantity indexes for real GDP,77.773
1999,Colorado,Compensation (millions of dollars),91784.8
1999,Connecticut,Chain-type quantity indexes for real GDP,83.994
1999,Connecticut,Compensation (millions of dollars),87404.9
1999,Delaware,Chain-type quantity indexes for real GDP,86.981
1999,Delaware,Compensation (millions of dollars),17926.4
1999,District of Columbia,Chain-type quantity indexes for real GDP,75.569
1999,District of Columbia,Compensation (millions of dollars),41056.3
1999,Florida,Chain-type quantity indexes for real GDP,79.024
1999,Florida,Compensation (millions of dollars),255858.3
1999,Georgia,Chain-type quantity indexes for real GDP,84.224
1999,Georgia,Compensation (millions of dollars),156224.6
1999,Hawaii,Chain-type quantity indexes for real GDP,76.284
1999,Hawaii,Compensation (millions of dollars),22223.3
1999,Idaho,Chain-type quantity indexes for real GDP,72.887
1999,Idaho,Compensation (millions of dollars),18500.3
1999,Illinois,Chain-type quantity indexes for real GDP,85.098
1999,Illinois,Compensation (millions of dollars),268468.9
1999,Indiana,Chain-type quantity indexes for real GDP,84.552
1999,Indiana,Compensation (millions of dollars),111590.4
1999,Iowa,Chain-type quantity indexes for real GDP,73.498
1999,Iowa,Compensation (millions of dollars),48851.5
1999,Kansas,Chain-type quantity indexes for real GDP,78.273
1999,Kansas,Compensation (millions of dollars),48195
1999,Kentucky,Chain-type quantity indexes for real GDP,87.352
1999,Kentucky,Compensation (millions of dollars),62758.3
1999,Louisiana,Chain-type quantity indexes for real GDP,90.045
1999,Louisiana,Compensation (millions of dollars),65595.6
1999,Maine,Chain-type quantity indexes for real GDP,86.348
1999,Maine,Compensation (millions of dollars),20064.5
1999,Maryland,Chain-type quantity indexes for real GDP,72.46
1999,Maryland,Compensation (millions of dollars),105866
1999,Massachusetts,Chain-type quantity indexes for real GDP,74.868
1999,Massachusetts,Compensation (millions of dollars),158570.8
1999,Michigan,Chain-type quantity indexes for real GDP,101.714
1999,Michigan,Compensation (millions of dollars),202369.2
1999,Minnesota,Chain-type quantity indexes for real GDP,77.79
1999,Minnesota,Compensation (millions of dollars),106760.4
1999,Mississippi,Chain-type quantity indexes for real GDP,87.247
1999,Mississippi,Compensation (millions of dollars),36548.9
1999,Missouri,Chain-type quantity indexes for real GDP,87.816
1999,Missouri,Compensation (millions of dollars),102376
1999,Montana,Chain-type quantity indexes for real GDP,71.943
1999,Montana,Compensation (millions of dollars),11454.9
1999,Nebraska,Chain-type quantity indexes for real GDP,71.672
1999,Nebraska,Compensation (millions of dollars),30863.1
1999,Nevada,Chain-type quantity indexes for real GDP,78.41
1999,Nevada,Compensation (millions of dollars),39629.9
1999,New Hampshire,Chain-type quantity indexes for real GDP,77.498
1999,New Hampshire,Compensation (millions of dollars),23462.7
1999,New Jersey,Chain-type quantity indexes for real GDP,86.596
1999,New Jersey,Compensation (millions of dollars),191651.1
1999,New Mexico,Chain-type quantity indexes for real GDP,80.168
1999,New Mexico,Compensation (millions of dollars),25051.5
1999,New York,Chain-type quantity indexes for real GDP,79.153
1999,New York,Compensation (millions of dollars),437850
1999,North Carolina,Chain-type quantity indexes for real GDP,77.614
1999,North Carolina,Compensation (millions of dollars),145573.1
1999,North Dakota,Chain-type quantity indexes for real GDP,45.861
1999,North Dakota,Compensation (millions of dollars),9656.9
1999,Ohio,Chain-type quantity indexes for real GDP,91.489
1999,Ohio,Compensation (millions of dollars),218259
1999,Oklahoma,Chain-type quantity indexes for real GDP,68.441
1999,Oklahoma,Compensation (millions of dollars),48396.9
1999,Oregon,Chain-type quantity indexes for real GDP,72.584
1999,Oregon,Compensation (millions of dollars),62968.6
1999,Pennsylvania,Chain-type quantity indexes for real GDP,81.022
1999,Pennsylvania,Compensation (millions of dollars),227873.5
1999,Rhode Island,Chain-type quantity indexes for real GDP,83.642
1999,Rhode Island,Compensation (millions of dollars),18428.8
1999,South Carolina,Chain-type quantity indexes for real GDP,82.258
1999,South Carolina,Compensation (millions of dollars),63373
1999,South Dakota,Chain-type quantity indexes for real GDP,62.557
1999,South Dakota,Compensation (millions of dollars),11029.2
1999,Tennessee,Chain-type quantity indexes for real GDP,80.636
1999,Tennessee,Compensation (millions of dollars),97527.6
1999,Texas,Chain-type quantity indexes for real GDP,67.656
1999,Texas,Compensation (millions of dollars),371887.3
1999,Utah,Chain-type quantity indexes for real GDP,68.937
1999,Utah,Compensation (millions of dollars),37278.7
1999,Vermont,Chain-type quantity indexes for real GDP,74.655
1999,Vermont,Compensation (millions of dollars),10113.6
1999,Virginia,Chain-type quantity indexes for real GDP,74.528
1999,Virginia,Compensation (millions of dollars),145642.1
1999,Washington,Chain-type quantity indexes for real GDP,77.135
1999,Washington,Compensation (millions of dollars),125679.1
1999,West Virginia,Chain-type quantity indexes for real GDP,87.858
1999,West Virginia,Compensation (millions of dollars),23381.1
1999,Wisconsin,Chain-type quantity indexes for real GDP,81.479
1999,Wisconsin,Compensation (millions of dollars),103288
1999,Wyoming,Chain-type quantity indexes for real GDP,68.453
1999,Wyoming,Compensation (millions of dollars),7775.7
2000,Alabama,Chain-type quantity indexes for real GDP,83.078
2000,Alabama,Compensation (millions of dollars),69764.4
2000,Alaska,Chain-type quantity indexes for real GDP,67.612
2000,Alaska,Compensation (millions of dollars),13893
2000,Arizona,Chain-type quantity indexes for real GDP,76.79
2000,Arizona,Compensation (millions of dollars),91205.4
2000,Arkansas,Chain-type quantity indexes for real GDP,82.837
2000,Arkansas,Compensation (millions of dollars),38766.8
2000,California,Chain-type quantity indexes for real GDP,80.27
2000,California,Compensation (millions of dollars),768199
2000,Colorado,Chain-type quantity indexes for real GDP,83.66
2000,Colorado,Compensation (millions of dollars),103429.2
2000,Connecticut,Chain-type quantity indexes for real GDP,89.725
2000,Connecticut,Compensation (millions of dollars),94354
2000,Delaware,Chain-type quantity indexes for real GDP,90.691
2000,Delaware,Compensation (millions of dollars),19093.4
2000,District of Columbia,Chain-type quantity indexes for real GDP,76.104
2000,District of Columbia,Compensation (millions of dollars),43492.4
2000,Florida,Chain-type quantity indexes for real GDP,82.552
2000,Florida,Compensation (millions of dollars),277809.5
2000,Georgia,Chain-type quantity indexes for real GDP,87.038
2000,Georgia,Compensation (millions of dollars),168914.1
2000,Hawaii,Chain-type quantity indexes for real GDP,77.729
2000,Hawaii,Compensation (millions of dollars),23456.2
2000,Idaho,Chain-type quantity indexes for real GDP,81.091
2000,Idaho,Compensation (millions of dollars),20431.9
2000,Illinois,Chain-type quantity indexes for real GDP,88.205
2000,Illinois,Compensation (millions of dollars),285572.2
2000,Indiana,Chain-type quantity indexes for real GDP,87.89
2000,Indiana,Compensation (millions of dollars),117278.7
2000,Iowa,Chain-type quantity indexes for real GDP,76.905
2000,Iowa,Compensation (millions of dollars),51344.9
2000,Kansas,Chain-type quantity indexes for real GDP,80.406
2000,Kansas,Compensation (millions of dollars),50990.4
2000,Kentucky,Chain-type quantity indexes for real GDP,85.041
2000,Kentucky,Compensation (millions of dollars),66433.8
2000,Louisiana,Chain-type quantity indexes for real GDP,87.398
2000,Louisiana,Compensation (millions of dollars),68244.4
2000,Maine,Chain-type quantity indexes for real GDP,90.332
2000,Maine,Compensation (millions of dollars),21369.3
2000,Maryland,Chain-type quantity indexes for real GDP,75.415
2000,Maryland,Compensation (millions of dollars),114236.6
2000,Massachusetts,Chain-type quantity indexes for real GDP,80.855
2000,Massachusetts,Compensation (millions of dollars),178341.8
2000,Michigan,Chain-type quantity indexes for real GDP,103.731
2000,Michigan,Compensation (millions of dollars),214270.9
2000,Minnesota,Chain-type quantity indexes for real GDP,83.064
2000,Minnesota,Compensation (millions of dollars),115859.6
2000,Mississippi,Chain-type quantity indexes for real GDP,87.684
2000,Mississippi,Compensation (millions of dollars),37902
2000,Missouri,Chain-type quantity indexes for real GDP,90.119
2000,Missouri,Compensation (millions of dollars),108908.2
2000,Montana,Chain-type quantity indexes for real GDP,73.785
2000,Montana,Compensation (millions of dollars),12223.1
2000,Nebraska,Chain-type quantity indexes for real GDP,74.342
2000,Nebraska,Compensation (millions of dollars),32759.9
2000,Nevada,Chain-type quantity indexes for real GDP,81.69
2000,Nevada,Compensation (millions of dollars),42526.1
2000,New Hampshire,Chain-type quantity indexes for real GDP,82.892
2000,New Hampshire,Compensation (millions of dollars),26008.4
2000,New Jersey,Chain-type quantity indexes for real GDP,91.151
2000,New Jersey,Compensation (millions of dollars),209723.1
2000,New Mexico,Chain-type quantity indexes for real GDP,81.493
2000,New Mexico,Compensation (millions of dollars),26791.2
2000,New York,Chain-type quantity indexes for real GDP,82.229
2000,New York,Compensation (millions of dollars),478847.4
2000,North Carolina,Chain-type quantity indexes for real GDP,80.188
2000,North Carolina,Compensation (millions of dollars),155621
2000,North Dakota,Chain-type quantity indexes for real GDP,47.665
2000,North Dakota,Compensation (millions of dollars),10195
2000,Ohio,Chain-type quantity indexes for real GDP,93.442
2000,Ohio,Compensation (millions of dollars),228255.5
2000,Oklahoma,Chain-type quantity indexes for real GDP,71.038
2000,Oklahoma,Compensation (millions of dollars),51943.6
2000,Oregon,Chain-type quantity indexes for real GDP,78.69
2000,Oregon,Compensation (millions of dollars),68653.1
2000,Pennsylvania,Chain-type quantity indexes for real GDP,83.156
2000,Pennsylvania,Compensation (millions of dollars),242135.3
2000,Rhode Island,Chain-type quantity indexes for real GDP,87.584
2000,Rhode Island,Compensation (millions of dollars),19782.3
2000,South Carolina,Chain-type quantity indexes for real GDP,84.539
2000,South Carolina,Compensation (millions of dollars),67173.4
2000,South Dakota,Chain-type quantity indexes for real GDP,66.937
2000,South Dakota,Compensation (millions of dollars),11778.5
2000,Tennessee,Chain-type quantity indexes for real GDP,81.627
2000,Tennessee,Compensation (millions of dollars),102809.7
2000,Texas,Chain-type quantity indexes for real GDP,70.059
2000,Texas,Compensation (millions of dollars),405918.7
2000,Utah,Chain-type quantity indexes for real GDP,71.42
2000,Utah,Compensation (millions of dollars),40131.9
2000,Vermont,Chain-type quantity indexes for real GDP,78.713
2000,Vermont,Compensation (millions of dollars),10907.1
2000,Virginia,Chain-type quantity indexes for real GDP,78.105
2000,Virginia,Compensation (millions of dollars),159207.5
2000,Washington,Chain-type quantity indexes for real GDP,77.699
2000,Washington,Compensation (millions of dollars),133456.7
2000,West Virginia,Chain-type quantity indexes for real GDP,87.69
2000,West Virginia,Compensation (millions of dollars),24503.3
2000,Wisconsin,Chain-type quantity indexes for real GDP,83.871
2000,Wisconsin,Compensation (millions of dollars),109352.5
2000,Wyoming,Chain-type quantity indexes for real GDP,70.608
2000,Wyoming,Compensation (millions of dollars),8328.1
2001,Alabama,Chain-type quantity indexes for real GDP,82.883
2001,Alabama,Compensation (millions of dollars),72038.4
2001,Alaska,Chain-type quantity indexes for real GDP,70.275
2001,Alaska,Compensation (millions of dollars),14883.3
2001,Arizona,Chain-type quantity indexes for real GDP,78.532
2001,Arizona,Compensation (millions of dollars),95475.5
2001,Arkansas,Chain-type quantity indexes for real GDP,82.761
2001,Arkansas,Compensation (millions of dollars),40397.1
2001,California,Chain-type quantity indexes for real GDP,80.087
2001,California,Compensation (millions of dollars),786778.9
2001,Colorado,Chain-type quantity indexes for real GDP,84.884
2001,Colorado,Compensation (millions of dollars),107435
2001,Connecticut,Chain-type quantity indexes for real GDP,90.546
2001,Connecticut,Compensation (millions of dollars),97529.5
2001,Delaware,Chain-type quantity indexes for real GDP,93.614
2001,Delaware,Compensation (millions of dollars),20001.5
2001,District of Columbia,Chain-type quantity indexes for real GDP,78.854
2001,District of Columbia,Compensation (millions of dollars),46445.4
2001,Florida,Chain-type quantity indexes for real GDP,84.858
2001,Florida,Compensation (millions of dollars),294909.5
2001,Georgia,Chain-type quantity indexes for real GDP,88.064
2001,Georgia,Compensation (millions of dollars),174526.5
2001,Hawaii,Chain-type quantity indexes for real GDP,77.433
2001,Hawaii,Compensation (millions of dollars),24637.9
2001,Idaho,Chain-type quantity indexes for real GDP,79.015
2001,Idaho,Compensation (millions of dollars),20917.2
2001,Illinois,Chain-type quantity indexes for real GDP,88.421
2001,Illinois,Compensation (millions of dollars),295169.7
2001,Indiana,Chain-type quantity indexes for real GDP,86.344
2001,Indiana,Compensation (millions of dollars),118592.1
2001,Iowa,Chain-type quantity indexes for real GDP,75.975
2001,Iowa,Compensation (millions of dollars),53028.3
2001,Kansas,Chain-type quantity indexes for real GDP,80.616
2001,Kansas,Compensation (millions of dollars),52831.5
2001,Kentucky,Chain-type quantity indexes for real GDP,85.231
2001,Kentucky,Compensation (millions of dollars),68971.3
2001,Louisiana,Chain-type quantity indexes for real GDP,88.628
2001,Louisiana,Compensation (millions of dollars),72116.3
2001,Maine,Chain-type quantity indexes for real GDP,92.16
2001,Maine,Compensation (millions of dollars),22593
2001,Maryland,Chain-type quantity indexes for real GDP,78.651
2001,Maryland,Compensation (millions of dollars),120944.8
2001,Massachusetts,Chain-type quantity indexes for real GDP,81.881
2001,Massachusetts,Compensation (millions of dollars),181279.7
2001,Michigan,Chain-type quantity indexes for real GDP,100.571
2001,Michigan,Compensation (millions of dollars),213447.9
2001,Minnesota,Chain-type quantity indexes for real GDP,82.996
2001,Minnesota,Compensation (millions of dollars),120133.8
2001,Mississippi,Chain-type quantity indexes for real GDP,86.92
2001,Mississippi,Compensation (millions of dollars),38679.6
2001,Missouri,Chain-type quantity indexes for real GDP,89.513
2001,Missouri,Compensation (millions of dollars),111774.5
2001,Montana,Chain-type quantity indexes for real GDP,74.473
2001,Montana,Compensation (millions of dollars),12869.6
2001,Nebraska,Chain-type quantity indexes for real GDP,76.106
2001,Nebraska,Compensation (millions of dollars),34290.4
2001,Nevada,Chain-type quantity indexes for real GDP,82.463
2001,Nevada,Compensation (millions of dollars),45081.8
2001,New Hampshire,Chain-type quantity indexes for real GDP,84.138
2001,New Hampshire,Compensation (millions of dollars),27051.6
2001,New Jersey,Chain-type quantity indexes for real GDP,92.154
2001,New Jersey,Compensation (millions of dollars),214258.7
2001,New Mexico,Chain-type quantity indexes for real GDP,81.581
2001,New Mexico,Compensation (millions of dollars),28479.8
2001,New York,Chain-type quantity indexes for real GDP,83.78
2001,New York,Compensation (millions of dollars),490636.8
2001,North Carolina,Chain-type quantity indexes for real GDP,80.796
2001,North Carolina,Compensation (millions of dollars),160357.6
2001,North Dakota,Chain-type quantity indexes for real GDP,48.058
2001,North Dakota,Compensation (millions of dollars),10802.2
2001,Ohio,Chain-type quantity indexes for real GDP,92.162
2001,Ohio,Compensation (millions of dollars),232948.6
2001,Oklahoma,Chain-type quantity indexes for real GDP,73.705
2001,Oklahoma,Compensation (millions of dollars),54857.9
2001,Oregon,Chain-type quantity indexes for real GDP,77.983
2001,Oregon,Compensation (millions of dollars),70017.9
2001,Pennsylvania,Chain-type quantity indexes for real GDP,84.464
2001,Pennsylvania,Compensation (millions of dollars),251969.4
2001,Rhode Island,Chain-type quantity indexes for real GDP,88.692
2001,Rhode Island,Compensation (millions of dollars),20642.9
2001,South Carolina,Chain-type quantity indexes for real GDP,85.023
2001,South Carolina,Compensation (millions of dollars),69017.5
2001,South Dakota,Chain-type quantity indexes for real GDP,67.094
2001,South Dakota,Compensation (millions of dollars),12186.9
2001,Tennessee,Chain-type quantity indexes for real GDP,81.498
2001,Tennessee,Compensation (millions of dollars),105054.1
2001,Texas,Chain-type quantity indexes for real GDP,71.809
2001,Texas,Compensation (millions of dollars),424108
2001,Utah,Chain-type quantity indexes for real GDP,72.238
2001,Utah,Compensation (millions of dollars),41955.6
2001,Vermont,Chain-type quantity indexes for real GDP,81.229
2001,Vermont,Compensation (millions of dollars),11554.9
2001,Virginia,Chain-type quantity indexes for real GDP,80.857
2001,Virginia,Compensation (millions of dollars),166906.8
2001,Washington,Chain-type quantity indexes for real GDP,75.818
2001,Washington,Compensation (millions of dollars),134764.4
2001,West Virginia,Chain-type quantity indexes for real GDP,87.908
2001,West Virginia,Compensation (millions of dollars),25386.7
2001,Wisconsin,Chain-type quantity indexes for real GDP,85.198
2001,Wisconsin,Compensation (millions of dollars),113584.4
2001,Wyoming,Chain-type quantity indexes for real GDP,74.971
2001,Wyoming,Compensation (millions of dollars),8998.5
2002,Alabama,Chain-type quantity indexes for real GDP,84.769
2002,Alabama,Compensation (millions of dollars),74152.3
