Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
12/15/2010,Sydney,20,25.6,0,6,10.7,NNE,43,E,E,11,24,71,69,1010.8,1006.7,4,4,24,24.7,No,0,No
12/16/2010,Sydney,21.7,26.4,0,7.6,3.9,SSE,52,ENE,NNW,4,6,72,91,1003.8,1006,5,8,24.7,20.6,No,7.6,Yes
12/17/2010,Sydney,18,26.4,7.6,5.8,3.8,NW,41,SSW,ESE,6,6,75,71,1005.7,1003.5,8,6,20.5,23,Yes,0,No
12/20/2010,Sydney,13.3,21.7,4.8,9.2,11.6,W,72,W,W,41,41,42,32,997.6,1000.7,1,2,16.7,21.3,Yes,0,No
12/21/2010,Sydney,15.4,27.8,0,8.4,13.5,W,52,WNW,WNW,26,20,36,26,1008.7,1007.9,1,1,21.3,27.1,No,0,No
12/22/2010,Sydney,17.7,25.7,0,9.2,12.7,SE,41,SE,SSE,19,26,71,61,1018.5,1017.6,5,5,22,25.2,No,0,No
12/23/2010,Sydney,19.1,27,0,8.4,7.5,SSE,59,W,E,9,19,72,57,1018.1,1016.5,6,5,21.4,26.2,No,0,No
7/1/2012,Sydney,9.9,16.1,0,3,5.9,WSW,44,W,W,15,28,69,28,1016.2,1013.4,6,2,10.4,15.8,No,0,No
7/2/2012,Sydney,7.5,16.8,0,3.8,9.6,W,52,W,WSW,28,24,56,36,1016,1015.5,1,3,11.3,16.1,No,0,No
7/5/2012,Sydney,8.7,14.9,4,2.6,4.5,SSW,44,W,SSW,17,24,75,72,1031,1030.1,5,7,10.7,13.6,Yes,19,Yes
7/6/2012,Sydney,9.6,16,19,1.8,5.8,SSW,44,SW,S,17,22,89,52,1033.1,1031.4,4,2,11,15.3,Yes,1.2,Yes
7/7/2012,Sydney,8.7,15.1,1.2,2.4,0.7,W,31,W,SW,24,11,86,71,1032.5,1030.5,7,7,9.9,13.9,Yes,0.2,No
7/8/2012,Sydney,9.1,18,0.2,0.8,8.1,W,26,W,E,19,11,81,57,1031.2,1028.2,2,2,10.4,16.6,No,0,No
7/9/2012,Sydney,8.3,17,0,1.2,9.6,ENE,24,WNW,NE,15,13,90,67,1030.4,1026.6,3,5,9.3,16.7,No,0,No
7/10/2012,Sydney,8.4,18,0,1.8,2.4,NE,44,W,NNE,9,22,92,67,1026.6,1021.1,7,7,10.2,17.6,No,5.4,Yes
7/11/2012,Sydney,10.2,20.6,5.4,3.4,8.6,W,31,WNW,NW,11,15,76,44,1020.1,1017.6,1,5,13.2,20.1,Yes,0,No
7/12/2012,Sydney,11.6,17.3,0,3,0.2,NNW,31,W,NNE,9,9,80,79,1017.5,1012.7,7,8,13,17.1,No,0.2,No
7/13/2012,Sydney,12.9,22.9,0.2,0.4,6.3,N,39,NW,N,15,26,74,62,1011.6,1008,5,6,17.2,21.3,No,0,No
7/14/2012,Sydney,11.1,20.2,0,3.2,9.5,NW,39,W,WNW,13,19,73,31,1013.2,1009.7,2,1,13.4,19.1,No,0,No
7/15/2012,Sydney,9,18.2,0,5,10,WSW,46,WNW,WSW,9,17,52,33,1016.9,1016.9,1,1,12.2,17.8,No,0,No
7/16/2012,Sydney,9.4,20.3,0,2.6,9.9,W,43,W,ENE,24,11,62,36,1027.5,1025.4,0,0,11.3,18.3,No,0,No
7/17/2012,Sydney,8.1,21,0,3.6,9.7,N,35,WNW,N,13,17,82,34,1026.5,1021.5,1,0,9.8,20.4,No,0,No
7/18/2012,Sydney,9.3,20.7,0,3.2,7.9,WSW,31,W,SW,20,13,70,33,1019.4,1015.8,4,2,10.5,20.2,No,0,No
7/19/2012,Sydney,8.7,15.4,0,3.6,5.4,S,50,W,SSW,26,31,63,50,1020.2,1020.3,4,5,10.8,14.6,No,0,No
7/20/2012,Sydney,5.8,17.3,0,2.8,9.8,SSW,35,W,SSW,22,19,65,38,1025.9,1024.7,1,1,8.1,16.6,No,5,Yes
7/21/2012,Sydney,8.1,14.9,5,2,1.4,SSW,52,SSW,SSW,17,22,81,54,1029.3,1028.5,8,7,13.3,14.8,Yes,2.6,Yes
7/22/2012,Sydney,9.7,16.9,2.6,3.6,6.8,SE,48,W,S,20,20,92,62,1029.6,1027.6,6,6,10.6,16.2,Yes,2.6,Yes
7/24/2012,Sydney,10.4,14,6.8,2.4,0.6,W,26,W,SSW,17,11,95,85,1027.9,1025.6,7,7,11.2,13.6,Yes,4.4,Yes
7/25/2012,Sydney,8.7,19.6,4.4,0.2,6.5,N,30,W,ENE,17,20,93,50,1023.9,1019.3,8,2,10,18,Yes,0,No
7/26/2012,Sydney,10,19.5,0,3.8,3.9,NNW,31,N,NE,13,7,57,48,1015.4,1011.3,6,7,14.7,17.8,No,0.4,No
7/27/2012,Sydney,8.7,17.4,0.4,2.4,10,W,41,W,W,15,20,74,32,1012.6,1009.8,0,3,11.3,17,No,0,No
7/28/2012,Sydney,7.8,19.4,0,4,9.7,WSW,44,W,S,22,11,68,45,1016.2,1015.7,1,4,9.8,16.7,No,0,No
7/29/2012,Sydney,8.4,16.2,0,1.6,7.1,S,39,WNW,S,17,20,66,45,1022.5,1021.6,1,6,11.5,16.1,No,0,No
7/30/2012,Sydney,7.3,15.9,0,4,10,SSW,54,W,SSW,24,28,54,36,1024.2,1022.2,1,1,9.6,15.3,No,4.4,Yes
7/31/2012,Sydney,7.5,16.1,4.4,3,6.3,SW,44,W,SSW,26,24,60,52,1025.8,1022.9,6,6,9.9,13.7,Yes,0,No
8/1/2012,Sydney,7,16.2,0,2.4,8.3,SSW,43,W,S,22,22,62,38,1022.5,1019.5,2,2,9.5,15.7,No,0,No
8/2/2012,Sydney,6.5,17.4,0,4.2,9.6,W,44,W,SE,26,9,58,37,1022.3,1018.5,1,3,9.2,15.8,No,0,No
8/3/2012,Sydney,6.8,18.5,0,3.6,7.7,WNW,31,W,NW,9,11,58,32,1017.8,1014.4,7,1,9.7,18.1,No,0,No
8/4/2012,Sydney,7.2,20.8,0,2.4,10.2,W,35,W,NW,22,6,60,27,1017.9,1014.3,3,2,9.9,20.3,No,0,No
8/5/2012,Sydney,9.3,21.6,0,1.6,7.7,WSW,44,W,W,17,15,50,27,1016.1,1011.3,1,7,12.2,19.8,No,0,No
8/6/2012,Sydney,11.6,19.4,0,7.2,10.2,SSW,46,N,SW,2,17,45,22,1014.8,1014.9,1,1,14.3,18.4,No,0,No
8/7/2012,Sydney,6.8,18.6,0,3.2,10.2,W,33,W,WNW,22,6,54,25,1024.4,1021.3,1,0,9.8,18.2,No,0,No
8/8/2012,Sydney,5.6,22.5,0,3.6,10.6,W,30,W,W,17,9,55,26,1022,1015.2,1,1,9.5,21.4,No,0,No
8/9/2012,Sydney,9.5,19.8,0,3.4,6.6,W,63,WNW,WSW,9,31,51,18,1014.7,1009.9,7,2,13.5,18.9,No,0,No
8/10/2012,Sydney,7.6,14.9,0,5,3.8,S,93,W,SSW,31,26,42,76,1015.4,1016.6,3,7,10.4,12.2,No,3.2,Yes
8/15/2012,Sydney,10.2,22.2,0,4.6,6,WNW,30,WNW,N,19,11,48,35,1016.8,1011.5,2,7,14.6,20.1,No,0,No
8/16/2012,Sydney,11.7,20.6,0,2,9.2,W,35,W,E,26,19,47,43,1014.7,1010.7,1,2,13.5,17.4,No,0,No
8/17/2012,Sydney,11.1,22.2,0,5.8,8.3,W,76,N,WNW,19,37,36,35,1007.7,1004.3,1,6,15.9,14.5,No,0,No
8/18/2012,Sydney,9.6,18.1,0,6.6,10.4,W,61,NW,W,30,33,45,33,1007,1007.4,2,4,12.7,17.9,No,0,No
8/19/2012,Sydney,9.7,20.1,0,6,10,WSW,37,W,E,20,17,54,43,1020.3,1019.1,1,2,13.4,16.9,No,0,No
8/20/2012,Sydney,7.5,17.8,0,3.2,10.7,W,24,W,E,19,17,62,47,1024.3,1019.1,3,1,10.1,16,No,0,No
8/21/2012,Sydney,8.7,22.2,0,2.6,9.2,NNE,31,WNW,ENE,13,19,70,36,1020.6,1016,5,1,11,19,No,0,No
8/23/2012,Sydney,16.1,29.2,0,6.4,6.9,NW,91,WNW,NW,17,41,45,25,1009.5,1005.9,7,7,22.2,26.3,No,10.2,Yes
8/24/2012,Sydney,12.4,19.3,10.2,7.8,11,W,67,WNW,WNW,31,33,36,23,1014.2,1011.8,1,1,13.6,18.9,Yes,0,No
8/25/2012,Sydney,10.7,20.7,0,6.4,10.7,W,41,WNW,WNW,15,6,42,26,1018,1015.5,1,1,13.8,20,No,0,No
8/26/2012,Sydney,8.3,20.9,0,4.4,10,W,33,W,E,19,15,48,41,1018.7,1016.9,3,3,11.7,17.2,No,0,No
8/30/2012,Sydney,12,22.1,0,5,9.5,NW,54,W,WNW,9,30,47,18,1010.5,1008.9,5,6,17.2,21.2,No,0,No
8/31/2012,Sydney,9.7,18.4,0,6.2,7.6,SSW,59,W,W,26,24,39,24,1016.6,1013.7,1,6,12.8,16.6,No,0.4,No
9/1/2012,Sydney,5.5,17.6,0.4,5,9.6,S,61,W,S,24,31,45,38,1021.9,1020.2,1,6,10.5,16.2,No,0.8,No
9/2/2012,Sydney,7.2,20.7,0.8,3.8,11.2,W,31,W,ENE,20,19,61,45,1024.3,1019.9,1,1,12.1,17,No,0,No
9/3/2012,Sydney,7.5,22.8,0,3.4,10.8,WNW,28,W,E,17,15,52,37,1022.2,1019.8,0,1,13.3,19.6,No,0.2,No
9/4/2012,Sydney,9.7,24.4,0.2,4,9.9,W,28,W,E,19,17,55,33,1022.9,1019.6,5,1,13.6,21.4,No,0,No
9/5/2012,Sydney,11.1,28.3,0,5.2,10.6,NNW,57,NNW,NNW,15,31,28,13,1016,1007.3,1,0,20.8,27.5,No,0,No
9/6/2012,Sydney,18.4,27.9,0,13.4,10.7,NW,54,WNW,WNW,28,22,28,10,1007.7,1005.3,0,0,21.5,27.6,No,0,No
9/7/2012,Sydney,16.4,21.7,0,10.8,8.7,W,72,WNW,WNW,20,39,22,22,1005.8,1006.2,0,5,21.3,18.4,No,0,No
9/8/2012,Sydney,11.3,21,0,6.6,10.8,W,59,W,WSW,30,28,39,31,1014.5,1012.8,1,1,15,20.4,No,0,No
9/11/2012,Sydney,12.6,21.8,0,5.4,8.7,S,39,WNW,SSE,17,17,66,51,1025,1022.4,7,1,16.4,21,No,0,No
9/12/2012,Sydney,11,21.3,0,3.8,10.2,NE,43,W,NE,11,20,66,67,1023.1,1015.7,6,1,15.8,19.6,No,0,No
9/13/2012,Sydney,14,24.7,0,5.6,2.7,SSW,63,N,S,20,33,39,83,1006.2,1007.3,4,8,21,15,No,3.8,Yes
9/14/2012,Sydney,7.9,18.5,3.8,3,11.3,WSW,37,W,ESE,20,17,50,36,1019.6,1017.1,1,1,13.5,16.9,Yes,0,No
9/15/2012,Sydney,9.2,20.1,0,5.2,10.7,SSE,37,W,SE,19,19,54,44,1024.9,1023.5,1,1,15.6,19.8,No,0,No
9/16/2012,Sydney,10.5,21,0,3.2,10.3,NNE,41,N,NE,19,24,57,54,1021.9,1016.3,3,3,17.5,18.5,No,0,No
9/17/2012,Sydney,14.2,20.9,0,5.4,6,SSE,39,S,SSE,19,26,71,61,1019.4,1016.9,7,6,16.4,19.4,No,0,No
9/18/2012,Sydney,12.4,20.6,0,3.6,7.7,E,37,W,E,9,20,63,66,1018.4,1013.8,1,5,17.9,18.2,No,3.6,Yes
9/19/2012,Sydney,11.1,22.9,3.6,3.8,11.1,W,35,WNW,ESE,11,17,57,45,1016,1014.4,1,3,17.2,20.1,Yes,0.2,No
9/20/2012,Sydney,12.1,20.5,0.2,6,9.4,ENE,30,W,E,13,22,73,60,1019.3,1014.7,6,2,15.6,19.7,No,0,No
9/21/2012,Sydney,13.8,22.2,0,4.4,4.6,WSW,37,NNE,ENE,4,13,83,46,1012.7,1009.8,7,1,15.5,21.9,No,0.8,No
9/22/2012,Sydney,12.4,22.7,0.8,4.8,10.9,ESE,33,WNW,SE,11,17,49,50,1016.2,1013.1,1,1,19,20.9,No,0,No
9/23/2012,Sydney,11.2,23.8,0,4.4,11.1,SSW,39,SSW,NNE,2,17,64,46,1011.5,1005.4,0,1,17.8,23.5,No,0,No
9/24/2012,Sydney,13.5,24.4,0,8.2,11.2,W,48,WSW,E,26,17,31,29,1012.6,1010.6,1,1,17.3,21.7,No,0.2,No
9/25/2012,Sydney,12,19.1,0.2,3.2,3.8,ESE,33,W,ESE,13,26,51,63,1022.1,1020,2,6,15,16.8,No,0.4,No
9/26/2012,Sydney,14.6,20.7,0.4,4.2,8.3,ENE,44,S,ENE,4,33,67,59,1022.5,1019,6,1,17.8,19.6,No,0.2,No
9/27/2012,Sydney,14.1,22.8,0.2,6.8,6.7,NNE,46,NNE,NE,6,19,58,59,1018.7,1013.5,6,5,19.4,21,No,0,No
9/28/2012,Sydney,18.9,33.2,0,6.4,6,NNW,65,ENE,NW,22,22,63,29,1009.7,1003.5,5,7,21.7,31.2,No,13.2,Yes
9/30/2012,Sydney,9.9,22.4,0,8.4,11.5,W,48,WSW,ESE,31,26,29,30,1019.2,1018,0,1,15.4,20.3,No,0,No
10/1/2012,Sydney,9.8,19.9,0,6.8,9.8,SSE,30,WNW,E,11,20,51,53,1027.9,1025.5,1,1,16.4,18,No,0.6,No
10/2/2012,Sydney,12.7,20.3,0.6,5,10.6,W,26,S,E,11,17,58,45,1032.7,1029.2,4,1,17.5,18.5,No,0.2,No
10/3/2012,Sydney,11.2,27.8,0.2,5.8,11.3,NNE,31,W,E,13,7,53,40,1026.3,1020.5,1,7,18.7,24,No,0,No
10/4/2012,Sydney,14.5,32.2,0,7.2,11.4,WNW,37,W,WNW,9,11,39,16,1018.8,1013.1,0,0,23.9,31.9,No,0,No
10/5/2012,Sydney,20,34.2,0,10.8,10.3,W,57,W,SSE,22,28,22,59,1014,1013,0,5,27.9,22.8,No,0,No
10/6/2012,Sydney,15.6,18.3,0,7.6,0,NE,48,ESE,NE,9,11,90,81,1019.2,1014.6,8,7,16,17.2,No,3,Yes
10/7/2012,Sydney,12.7,20.6,3,3.2,11.2,SSW,57,SW,SSE,17,28,39,32,1013.8,1013.7,1,1,16.1,19.3,Yes,0.2,No
10/8/2012,Sydney,13.6,18.2,0.2,7.8,5.9,SSE,35,NNW,ESE,7,19,60,46,1017.1,1013.4,6,6,15.3,17.5,No,0,No
10/9/2012,Sydney,12.1,19.6,0,3.8,9,S,33,SSE,ESE,7,19,67,52,1012.8,1011.1,7,6,13.8,17.1,No,0,No
10/11/2012,Sydney,13.5,19,9.8,6.8,3.6,WSW,50,SE,E,4,9,83,58,1005.4,1004.1,8,7,14.6,18.2,Yes,3.4,Yes
10/12/2012,Sydney,8.5,16,3.4,2,4.3,SSW,74,W,SSW,35,22,84,87,1006.3,1010.7,5,7,8.7,12.2,Yes,4.4,Yes
10/13/2012,Sydney,8.6,20.1,4.4,4,11,SE,35,W,SE,26,20,47,39,1019.8,1019.3,1,1,14.3,18.9,Yes,0.2,No
10/14/2012,Sydney,12.4,19.5,0.2,4.8,8.8,ESE,28,WNW,ESE,13,20,77,52,1025.6,1024,7,1,14,18.5,No,0,No
10/15/2012,Sydney,11.4,23.9,0,6.4,11.6,NNE,46,W,NE,9,19,65,41,1024.9,1020.9,0,2,16.3,23.2,No,0,No
10/16/2012,Sydney,15.4,34.1,0,7.2,9.6,NNE,43,ESE,E,6,22,43,23,1018.4,1013.9,7,2,20.9,30.7,No,0,No
10/17/2012,Sydney,20.3,21.8,0,11.4,11.7,SSW,39,SE,ESE,22,24,62,46,1016.4,1016.4,5,6,21.7,20.8,No,0,No
10/18/2012,Sydney,16.6,21.5,0,7.4,8.2,ENE,41,ENE,NE,15,22,58,56,1022.7,1019.6,7,1,19.4,20.4,No,0,No
10/19/2012,Sydney,15.9,25.6,0,6.6,9.8,NE,31,WNW,E,11,19,78,56,1016.4,1011.6,7,4,17.7,24.1,No,0,No
10/20/2012,Sydney,16.6,33.8,0,6.8,11.8,SSE,56,WNW,S,22,33,44,57,1007.8,1008.5,1,2,22.8,24.6,No,0,No
10/21/2012,Sydney,14.9,27.4,0,5,5,S,46,W,WNW,13,20,66,23,1013.7,1009.5,4,7,19.9,26.9,No,0,No
10/22/2012,Sydney,15.1,18.7,0,6,6.6,SSE,80,SSE,S,30,39,68,40,1016.2,1019.7,7,2,15.6,18,No,7.4,Yes
10/23/2012,Sydney,11.8,19.5,7.4,2,10.1,SSE,41,SE,ESE,19,20,56,41,1027.4,1026.5,6,3,15.7,18.3,Yes,0.2,No
10/24/2012,Sydney,11.7,23,0.2,6,11.6,NE,46,W,NE,11,24,57,48,1024.3,1017.7,1,2,17.3,21,No,0,No
10/25/2012,Sydney,13.8,25.6,0,8.2,10.5,NE,30,W,E,9,19,63,46,1013,1006.6,3,6,18.2,24.8,No,0,No
10/26/2012,Sydney,16.9,21.2,0,9,3.3,S,56,ESE,E,6,19,68,66,1010.6,1007.3,8,7,18.4,20,No,0,No
10/27/2012,Sydney,13.1,21.3,0,5.4,12.2,SSE,41,SSW,SE,7,24,39,40,1015.7,1016.4,1,1,18,19.1,No,0,No
10/28/2012,Sydney,15.3,19.8,0,9.2,5.3,SSE,30,ESE,E,13,15,51,47,1025.5,1024.3,7,8,17,19.1,No,0,No
10/29/2012,Sydney,12.1,21.7,0,3.6,9.4,ENE,44,WNW,E,9,30,59,55,1025.1,1021.2,6,2,17.2,20.8,No,0,No
10/30/2012,Sydney,14.1,23.1,0,7.2,9.8,NE,43,WSW,ENE,2,24,65,48,1019.8,1015.7,5,6,18.6,22.4,No,0,No
10/31/2012,Sydney,15.7,27.8,0,7,12,ENE,33,WNW,ESE,11,20,64,52,1016.1,1013,0,3,21.6,24.4,No,0,No
11/1/2012,Sydney,16.8,33.3,0,8,5.2,W,52,WNW,E,9,20,55,57,1008.3,1002,7,7,22.6,24.7,No,0,No
11/2/2012,Sydney,16.1,21.9,0,10.8,12.2,SSE,54,S,SSE,28,26,44,38,1015.2,1015.5,2,1,18.1,20.3,No,1.6,Yes
11/3/2012,Sydney,13.7,18.5,1.6,5.6,0,SE,31,WSW,ESE,6,17,82,58,1020.9,1020.1,7,8,15.5,17.8,Yes,1.4,Yes
11/4/2012,Sydney,14.8,22.9,1.4,2.6,9.3,NE,41,WNW,ENE,6,26,80,63,1020.5,1017.5,4,4,18.3,21.9,Yes,0.2,No
11/5/2012,Sydney,17,25.1,0.2,5.2,10,NNE,52,ESE,NE,9,20,70,61,1018.7,1014.9,1,4,21.5,24.3,No,0,No
11/6/2012,Sydney,19.6,25.4,0,9,8.9,NE,57,E,NE,15,30,65,61,1015.8,1012.7,6,4,24,23.9,No,0,No
11/7/2012,Sydney,19.8,24.2,0,8.6,0,NE,35,NE,ENE,2,19,78,68,1013.8,1010.3,8,8,21.7,22.4,No,0,No
11/8/2012,Sydney,19.9,27.3,0,3.8,8.4,ESE,35,ENE,E,4,20,58,64,1011.9,1011.7,6,7,24.1,23.4,No,9.2,Yes
11/9/2012,Sydney,18.5,27.1,9.2,4.2,9.8,S,50,W,ENE,9,17,77,86,1014,1012.6,5,5,22.2,20.9,Yes,11.4,Yes
11/10/2012,Sydney,16.6,20.9,11.4,7.4,7,SSE,50,SSE,SSE,28,26,56,54,1022.7,1023.1,6,6,19.6,18.5,Yes,0.2,No
11/11/2012,Sydney,13.1,21.4,0.2,9.6,12.7,ESE,31,ESE,ESE,13,19,42,45,1028.6,1026.6,1,2,19.4,20.8,No,0,No
11/12/2012,Sydney,13,23.7,0,6,11.3,NE,54,W,NE,13,31,55,51,1025,1019.7,4,7,19.4,22,No,0,No
11/13/2012,Sydney,16.9,23.9,0,9.8,9.9,S,57,S,SSE,19,28,60,51,1020.3,1019,1,3,19.6,21,No,0,No
11/14/2012,Sydney,15.9,20.7,0,8,0.3,E,31,E,E,15,20,80,71,1019.5,1017.4,8,8,16.9,18.4,No,0.2,No
11/15/2012,Sydney,16.2,24.7,0.2,4.2,7.2,ENE,35,NE,ENE,19,17,72,62,1014.7,1010.7,8,7,20.5,23.6,No,0.4,No
11/16/2012,Sydney,17.2,18,0.4,5,0,SSW,41,SSW,SSE,11,9,86,81,1012.7,1011,8,8,17.2,17.5,No,10.4,Yes
11/17/2012,Sydney,15.1,21.3,10.4,2.4,7,SE,33,ESE,E,13,15,57,50,1016.7,1015.1,8,4,17.4,19.8,Yes,0,No
11/18/2012,Sydney,15.3,23.1,0,6,12.2,S,70,W,NE,6,35,65,57,1012.9,1007.7,5,3,19.2,22.2,No,0,No
11/19/2012,Sydney,12.8,21.1,0,8.4,6.9,S,50,W,SSW,17,26,44,45,1014.2,1015.6,2,3,18.1,19.9,No,1.6,Yes
11/20/2012,Sydney,15.8,23.2,1.6,7,7.6,SSE,44,SSE,SE,28,22,61,50,1022.2,1021.6,7,3,18.9,21.8,Yes,0.4,No
11/21/2012,Sydney,13.4,24.5,0.4,5.2,10.6,NNE,50,W,NE,9,24,60,59,1018.1,1012.2,7,6,19.8,22.3,No,0,No
11/22/2012,Sydney,17.1,20.7,0,9,0.3,SSW,72,SSE,SE,22,22,66,59,1017.1,1017,7,7,18.8,19.4,No,0,No
11/23/2012,Sydney,15.7,22,0,5.4,5.2,SSE,30,E,ESE,13,17,59,55,1020.3,1018.5,7,7,18.7,20.5,No,0,No
11/24/2012,Sydney,16.4,25.4,0,5.2,10.8,ENE,39,ESE,E,9,28,67,63,1018.8,1014.8,5,1,21,23.8,No,0,No
11/25/2012,Sydney,18.5,31,0,7.8,12.7,ENE,26,W,E,7,15,60,56,1013.9,1012.6,1,2,25.3,27.2,No,0,No
11/26/2012,Sydney,20.7,27.2,0,9.4,2.9,WSW,41,S,ESE,7,20,74,69,1015.9,1012.3,8,7,22.5,24.1,No,3.6,Yes
11/27/2012,Sydney,19.8,24.1,3.6,4.4,1,NE,44,ESE,SE,6,13,80,74,1014.1,1014.7,7,7,22.4,22.4,Yes,10.2,Yes
11/28/2012,Sydney,18.4,24.5,10.2,3.2,0,E,26,SE,ESE,9,13,84,74,1018.4,1016.5,7,7,20.5,21.9,Yes,1.2,Yes
11/29/2012,Sydney,19.9,27,1.2,2.4,8.3,NE,43,ESE,NE,6,20,71,63,1016.5,1013.6,6,2,23.6,26.2,Yes,0,No
