Rank,Title,US Gross,Worldwide Gross,Production Budget,Release Date,MPAA Rating,Source,Major Genre,Creative Type,IMDB Rating,IMDB Votes
20,Forrest Gump,329694499,679400525,55000000,Jul 06 1994,PG/PG-13,Adapted screenplay,Drama,Fiction,8.6,300455
21,American History X,6719864,6719864,10000000,Oct 30 1998,R,Original Screenplay,Drama,Fiction,8.6,224857
22,LÈon,19284974,45284974,16000000,Nov 18 1994,R,Original Screenplay,Horror/Thriller,Fiction,8.6,199762
23,American Beauty,130058047,356258047,15000000,Sep 15 1999,R,Original Screenplay,Drama,Fiction,8.6,292562
24,Requiem for a Dream,3635482,7390108,4500000,Oct 06 2000,Other,Adapted screenplay,Drama,Fiction,8.5,185226
25,Eternal Sunshine of the Spotless Mind,34366518,47066518,20000000,Mar 19 2004,R,Adapted screenplay,Comedy,Fiction,8.5,219986
26,The Pianist,32519322,120000000,35000000,Dec 27 2002,R,Adapted screenplay,Drama,Non-Fiction,8.5,134516
27,Das Leben der Anderen,11284657,75284657,2000000,Feb 09 2007,R,Original Screenplay,Drama,Fiction,8.5,75070
28,Le Fabuleux destin d'AmÈlie Poulain,33201661,174201661,10350000,Nov 02 2001,R,Original Screenplay,Comedy,Fiction,8.5,181085
29,Alien,80930630,203630630,9000000,May 25 1979,R,Original Screenplay,Horror/Thriller,Fiction,8.5,180387
30,Saving Private Ryan,216335085,481635085,65000000,Jul 24 1998,R,Original Screenplay,Drama,Fiction,8.5,270540
31,Terminator 2: Judgment Day,204859496,516816151,100000000,Jul 02 1991,R,Original Screenplay,Action/Adventure,Fiction,8.5,237477
32,WALL-E,223808164,532743103,180000000,Jun 27 2008,G,Original Screenplay,Comedy,Fiction,8.5,182257
33,The Departed,133311000,290539042,90000000,Oct 06 2006,R,Adapted screenplay,Drama,Fiction,8.5,264148
34,The Prestige,53089891,107896006,40000000,Oct 20 2006,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,8.4,207322
35,L.A. Confidential,64604977,110604977,35000000,Sep 19 1997,R,Adapted screenplay,Drama,Fiction,8.4,165161
36,The Green Mile,136801374,286601374,60000000,Dec 10 1999,R,Adapted screenplay,Drama,Fiction,8.4,198916
37,Amadeus,51973029,51973029,18000000,Sep 19 1984,R,Adapted screenplay,Drama,Non-Fiction,8.4,96997
38,Lake of Fire,25317,25317,6000000,Oct 03 2007,Other,Adapted screenplay,Documentary,Non-Fiction,8.4,1027
39,Raging Bull,23380203,23380203,18000000,Nov 14 1980,Other,Adapted screenplay,Drama,Non-Fiction,8.4,90015
40,Braveheart,75545647,209000000,72000000,May 24 1995,R,Adapted screenplay,Drama,Non-Fiction,8.4,240642
41,El Laberinto del Fauno,37634615,83234615,16000000,Dec 29 2006,R,Original Screenplay,Horror/Thriller,Fiction,8.4,153762
42,Inglourious Basterds,120831050,320389438,70000000,Aug 21 2009,R,Original Screenplay,Action/Adventure,Fiction,8.4,178742
43,Up,293004164,731304609,175000000,May 29 2009,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,8.4,110491
44,The Wizard of Oz,28202232,28202232,2777000,Aug 25 2039,G,Adapted screenplay,Western/Musical,Fiction,8.3,102795
45,Blade Runner,32656328,33139618,28000000,Jun 25 1982,R,Adapted screenplay,Horror/Thriller,Fiction,8.3,185546
46,No Country for Old Men,74273505,162103209,25000000,Nov 09 2007,R,Adapted screenplay,Action/Adventure,Fiction,8.3,197898
47,Jaws,260000000,470700000,12000000,Jun 20 1975,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,8.3,138017
48,Sin City,74103820,158753820,40000000,Apr 01 2005,R,Adapted screenplay,Action/Adventure,Fiction,8.3,255814
49,Batman Begins,205343774,372353017,150000000,Jun 15 2005,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.3,270641
50,No End In Sight,1433319,1433319,2000000,Jul 27 2007,Other,Adapted screenplay,Documentary,Non-Fiction,8.3,4086
51,U2 3D,10363341,22664070,15000000,Jan 23 2008,G,Adapted screenplay,Western/Musical,Non-Fiction,8.3,2090
52,Fargo,24567751,51204567,7000000,Mar 08 1996,R,Adapted screenplay,Horror/Thriller,Fiction,8.3,165159
53,Donnie Darko,1270522,4116307,4500000,Oct 26 2001,R,Original Screenplay,Drama,Fiction,8.3,210713
54,Hotel Rwanda,23519128,33919128,17500000,Dec 22 2004,PG/PG-13,Original Screenplay,Drama,Non-Fiction,8.3,92106
55,Mononoke-hime,2374107,150350000,20000000,Oct 29 1999,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,8.3,65773
56,District 9,115646235,206552113,30000000,Aug 14 2009,R,Original Screenplay,Horror/Thriller,Fiction,8.3,151742
57,Slumdog Millionaire,141319928,365257315,14000000,Nov 12 2008,R,Original Screenplay,Drama,Fiction,8.3,176325
58,Gladiator,187683805,457683805,103000000,May 05 2000,R,Original Screenplay,Action/Adventure,Fiction,8.3,279512
59,Avatar,760167650,2767891499,237000000,Dec 18 2009,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,8.3,261439
60,Trainspotting,16501785,24000785,3100000,Jul 19 1996,R,Adapted screenplay,Drama,Fiction,8.2,150483
61,Into the Wild,18354356,53813837,20000000,Sep 21 2007,R,Adapted screenplay,Drama,Fiction,8.2,99464
62,Million Dollar Baby,100492203,216763646,30000000,Dec 15 2004,PG/PG-13,Adapted screenplay,Drama,Fiction,8.2,141212
63,Gone with the Wind,198680470,390525192,3900000,Dec 15 2039,G,Adapted screenplay,Drama,Fiction,8.2,78947
64,The Bourne Ultimatum,227471070,442161562,130000000,Aug 03 2007,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.2,146025
65,How to Train Your Dragon,217581231,491581231,165000000,Mar 26 2010,PG/PG-13,Adapted screenplay,Comedy,Fiction,8.2,28556
66,V for Vendetta,70511035,132511035,50000000,Mar 17 2006,R,Adapted screenplay,Action/Adventure,Fiction,8.2,224636
67,Sicko,24538513,33538513,9000000,Jun 22 2007,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,8.2,40886
68,Bowling for Columbine,21576018,58576018,3000000,Oct 11 2002,R,Adapted screenplay,Documentary,Non-Fiction,8.2,76928
69,Star Trek,257730019,385680447,140000000,May 08 2009,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.2,134187
70,The Wrestler,26236603,43236603,6000000,Dec 17 2008,R,Original Screenplay,Drama,Fiction,8.2,93301
71,The Big Lebowski,17498804,46189568,15000000,Mar 06 1998,R,Original Screenplay,Comedy,Fiction,8.2,177960
72,Groundhog Day,70906973,70906973,14600000,Feb 12 1993,PG/PG-13,Original Screenplay,Comedy,Fiction,8.2,134964
73,Snatch,30093107,83593107,10000000,Dec 08 2000,R,Original Screenplay,Comedy,Fiction,8.2,173919
74,Kill Bill: Volume 1,70098138,180098138,55000000,Oct 10 2003,R,Original Screenplay,Action/Adventure,Fiction,8.2,231761
75,Toy Story,191796233,361948825,30000000,Nov 22 1995,G,Original Screenplay,Action/Adventure,Fiction,8.2,151143
76,The Sixth Sense,293506292,672806292,40000000,Aug 06 1999,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,8.2,238745
77,The Lion King,328539505,783839505,79300000,Jun 15 1994,G,Original Screenplay,Action/Adventure,Fiction,8.2,136503
78,Finding Nemo,339714978,867894287,94000000,May 30 2003,G,Original Screenplay,Action/Adventure,Fiction,8.2,165006
79,Scarface,44942821,44942821,25000000,Dec 09 1983,Other,Adapted screenplay,Drama,Fiction,8.2,152262
80,"Gandhi, My Father",240425,1375194,5000000,Aug 03 2007,Other,Adapted screenplay,Drama,Non-Fiction,8.1,50881
81,Ed Wood,5828466,5828466,18000000,Sep 30 1994,R,Adapted screenplay,Comedy,Non-Fiction,8.1,74171
82,Children of Men,35552383,69450202,76000000,Dec 25 2006,R,Adapted screenplay,Horror/Thriller,Fiction,8.1,158125
83,Casino,42438300,110400000,52000000,Nov 22 1995,R,Adapted screenplay,Drama,Fiction,8.1,108634
84,Big Fish,66432867,123432867,70000000,Dec 10 2003,PG/PG-13,Adapted screenplay,Drama,Fiction,8.1,141099
85,The Exorcist,204632868,402500000,12000000,Dec 26 1973,R,Adapted screenplay,Horror/Thriller,Fiction,8.1,103131
86,Scott Pilgrim vs. The World,31167395,43149143,85000000,Aug 13 2010,PG/PG-13,Adapted screenplay,Comedy,Fiction,8.1,17461
87,Kick-Ass,48071303,76252166,28000000,Apr 16 2010,R,Adapted screenplay,Action/Adventure,Fiction,8.1,86990
88,Letters from Iwo Jima,13756082,68756082,13000000,Dec 20 2006,R,Adapted screenplay,Drama,Fiction,8.1,56872
89,Twelve Monkeys,57141459,168841459,29000000,Dec 27 1995,R,Adapted screenplay,Drama,Fiction,8.1,169858
90,Aeon Flux,25857987,47953341,55000000,Dec 02 2005,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.1,1193
91,Festen,1647780,1647780,1300000,Oct 09 1998,R,Original Screenplay,Comedy,Fiction,8.1,26607
92,Amores Perros,5383834,20883834,2000000,Mar 30 2001,R,Original Screenplay,Drama,Fiction,8.1,61083
93,Rang De Basanti,2197694,29197694,5300000,Jan 27 2006,Other,Original Screenplay,Drama,Fiction,8.1,12116
94,In Bruges,7800825,30782621,15000000,Feb 08 2008,R,Original Screenplay,Comedy,Fiction,8.1,97876
95,Good Will Hunting,138433435,225933435,10000000,Feb 20 1987,R,Original Screenplay,Drama,Fiction,8.1,150415
96,Ratatouille,206445654,620495432,150000000,Jun 29 2007,G,Original Screenplay,Comedy,Fiction,8.1,131929
97,The Incredibles,261441092,632882184,92000000,Nov 05 2004,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,8.1,159123
98,A Christmas Story,19294144,19294144,3250000,Nov 18 1983,PG/PG-13,Adapted screenplay,Comedy,Fiction,8,51757
99,Le Scaphandre et le Papillon,5990075,19689095,14000000,Nov 30 2007,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,8,31172
100,The Insider,28965197,60265197,68000000,Nov 05 1999,R,Adapted screenplay,Drama,Non-Fiction,8,68747
101,The Notebook,81001787,102276787,30000000,Jun 25 2004,PG/PG-13,Adapted screenplay,Drama,Fiction,8,95850
102,Doctor Zhivago,111721000,111721000,11000000,Dec 22 1965,PG/PG-13,Adapted screenplay,Drama,Fiction,8,27671
103,Mystic River,90135191,156835191,30000000,Oct 08 2003,R,Adapted screenplay,Drama,Fiction,8,119484
104,JFK,70405498,205400000,40000000,Dec 20 1991,R,Adapted screenplay,Drama,Non-Fiction,8,59684
105,Shutter Island,128012934,294512934,80000000,Feb 19 2010,R,Adapted screenplay,Horror/Thriller,Fiction,8,105706
106,The Curious Case of Benjamin Button,127509326,329809326,160000000,Dec 25 2008,PG/PG-13,Adapted screenplay,Drama,Fiction,8,137120
107,Shrek,267655011,484399218,50000000,May 18 2001,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8,163855
108,Casino Royale,167365000,596365000,102000000,Nov 17 2006,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8,172936
109,A Beautiful Mind,170708996,316708996,78000000,Dec 21 2001,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,8,126067
110,In the Shadow of the Moon,1134358,1134358,2000000,Sep 07 2007,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,8,2974
111,Zwartboek,4398392,4398392,22000000,Apr 06 2007,R,Adapted screenplay,Horror/Thriller,Fiction,8,27288
112,The Straight Story,6197866,6197866,10000000,Oct 15 1999,G,Adapted screenplay,Drama,Non-Fiction,8,36265
113,Hoop Dreams,7768371,11768371,700000,Oct 14 1994,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,8,9492
114,Cinderella Man,61649911,108539911,88000000,Jun 03 2005,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,8,63111
115,Sling Blade,24475416,34175000,4833610,Nov 20 1996,R,Adapted screenplay,Drama,Fiction,8,41785
116,Serenity,25514517,38514517,39000000,Sep 30 2005,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8,106648
117,Pirates of the Caribbean: The Curse of the Black Pearl,305411224,655011224,125000000,Jul 09 2003,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8,232719
118,Bacheha-Ye aseman,925402,925402,180000,Jan 22 1999,PG/PG-13,Original Screenplay,Comedy,Fiction,8,6657
119,No Man's Land,1067481,2684207,1000000,Dec 07 2001,R,Original Screenplay,Drama,Fiction,8,19600
120,Before Sunrise,5274005,5274005,2500000,Jan 27 1995,R,Original Screenplay,Drama,Fiction,8,39705
121,Moon,5010163,6934829,5000000,Jun 12 2009,R,Original Screenplay,Horror/Thriller,Fiction,8,55251
122,Brazil,9929135,9929135,15000000,Dec 18 1985,R,Original Screenplay,Comedy,Fiction,8,76635
123,Before Sunset,5792822,11293790,2000000,Jul 02 2004,R,Original Screenplay,Drama,Fiction,8,45535
124,Central do Brasil,5969553,17006158,2900000,Nov 20 1998,R,Original Screenplay,Drama,Fiction,8,17343
125,Once,9445857,18997174,150000,Jun 16 2007,R,Original Screenplay,Drama,Fiction,8,34348
126,Shaun of the Dead,13542874,29629128,5000000,Sep 24 2004,R,Original Screenplay,Comedy,Fiction,8,134693
127,Almost Famous,32522352,47371191,60000000,Sep 15 2000,R,Original Screenplay,Comedy,Non-Fiction,8,94424
128,Magnolia,22450975,48446802,37000000,Dec 17 1999,R,Original Screenplay,Drama,Fiction,8,121540
129,Hot Fuzz,23618786,79197493,16000000,Apr 20 2007,R,Original Screenplay,Comedy,Fiction,8,129779
130,Little Miss Sunshine,59891098,100523181,8000000,Jul 26 2006,R,Original Screenplay,Comedy,Fiction,8,151013
131,Kill Bill: Volume 2,66207920,150907920,55000000,Apr 16 2004,R,Original Screenplay,Action/Adventure,Fiction,8,182834
132,Blood Diamond,57377916,171377916,100000000,Dec 08 2006,R,Original Screenplay,Action/Adventure,Fiction,8,118925
133,The Truman Show,125618201,248400000,60000000,Jun 05 1998,PG/PG-13,Original Screenplay,Drama,Fiction,8,156346
134,Toy Story 2,245852179,484966906,90000000,Nov 19 1999,G,Original Screenplay,Action/Adventure,Fiction,8,119357
135,Adaptation,22498520,22498520,18500000,Dec 06 2002,R,Adapted screenplay,Comedy,Fiction,7.9,67135
136,25th Hour,13084595,23928503,4500000,Dec 19 2002,R,Adapted screenplay,Drama,Fiction,7.9,58781
137,The Iron Giant,23159305,31333917,50000000,Aug 04 1999,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.9,38791
138,Atonement,50980159,129425746,30000000,Dec 07 2007,R,Adapted screenplay,Drama,Fiction,7.9,75491
139,Stardust,38634938,135556675,70000000,Aug 10 2007,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.9,87883
140,Jurassic Park 3,181166115,365900000,93000000,Jul 18 2001,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.9,151365
141,Jurassic Park,357067947,923067947,63000000,Jun 10 1993,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.9,151365
142,Iron Man,318604126,582604126,186000000,May 02 2008,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.9,174040
143,Henry V,10161099,10161099,9000000,Nov 08 1989,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.9,14499
144,Frost/Nixon,18622031,28144586,29000000,Dec 05 2008,R,Adapted screenplay,Drama,Non-Fiction,7.9,36366
145,Finding Neverland,51676606,118676606,25000000,Nov 12 2004,PG/PG-13,Adapted screenplay,Drama,Fiction,7.9,86828
146,The World's Fastest Indian,5128124,16509706,25000000,Dec 07 2005,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,7.9,19687
147,Walk the Line,119519402,184319402,29000000,Nov 18 2005,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,7.9,85235
148,American Gangster,130164645,265697825,100000000,Nov 02 2007,R,Adapted screenplay,Drama,Non-Fiction,7.9,114060
149,Office Space,10827813,12827813,10000000,Feb 19 1999,R,Adapted screenplay,Comedy,Fiction,7.9,80972
150,Clerks,3073428,3073428,27000,Oct 19 1994,R,Original Screenplay,Comedy,Fiction,7.9,89991
151,Mulholland Drive,7219578,11919578,15000000,Oct 08 2001,R,Original Screenplay,Drama,Fiction,7.9,103026
152,Secrets & Lies,13417292,13417292,4500000,Sep 28 1996,R,Original Screenplay,Drama,Fiction,7.9,14364
153,Garden State,26782316,32381151,2500000,Jul 28 2004,R,Original Screenplay,Drama,Fiction,7.9,92594
154,Being John Malkovich,22858926,32382381,13000000,Oct 29 1999,R,Original Screenplay,Comedy,Fiction,7.9,113568
155,Boogie Nights,26410771,43111725,15000000,Oct 10 1997,R,Original Screenplay,Drama,Fiction,7.9,70962
156,The Women,26902075,50042410,16000000,Sep 12 2008,PG/PG-13,Original Screenplay,Comedy,Fiction,7.9,5519
157,Grindhouse,25031037,50187789,53000000,Apr 06 2007,R,Original Screenplay,Horror/Thriller,Fiction,7.9,82770
158,21 Grams,16248701,60448701,20000000,Nov 21 2003,R,Original Screenplay,Drama,Fiction,7.9,77910
159,Lost in Translation,44585453,106454000,4000000,Sep 12 2003,R,Original Screenplay,Drama,Fiction,7.9,130998
160,Apocalypto,50866635,117785051,40000000,Dec 08 2006,R,Original Screenplay,Action/Adventure,Fiction,7.9,82162
161,Wallace & Gromit: The Curse of the Were-Rabbit,56068547,185724838,30000000,Oct 05 2005,G,Original Screenplay,Action/Adventure,Fiction,7.9,38158
162,Juno,143495265,230327671,7000000,Dec 05 2007,PG/PG-13,Original Screenplay,Comedy,Fiction,7.9,149855
163,Love Actually,59472278,247967903,45000000,Nov 07 2003,R,Original Screenplay,Comedy,Fiction,7.9,97921
164,The Hangover,277322503,465132119,35000000,Jun 05 2009,R,Original Screenplay,Comedy,Fiction,7.9,127634
165,ET: The Extra-Terrestrial,435110554,792910554,10500000,Jun 11 1982,PG/PG-13,Original Screenplay,Drama,Fiction,7.9,105028
166,3:10 to Yuma,53606916,69791889,48000000,Sep 02 2007,R,Adapted screenplay,Western/Musical,Fiction,7.9,98355
167,Karakter,713413,713413,4500000,Mar 27 1998,R,Adapted screenplay,Drama,Fiction,7.8,5531
168,Spider,1641788,1641788,10000000,Feb 28 2003,R,Adapted screenplay,Drama,Fiction,7.8,560
169,The Sweet Hereafter,4306697,4306697,5000000,Oct 10 1997,R,Adapted screenplay,Drama,Fiction,7.8,16280
170,Control,871577,5645350,6400000,Oct 10 2007,R,Adapted screenplay,Drama,Non-Fiction,7.8,19466
171,Little Children,5463019,14763019,14000000,Oct 06 2006,R,Adapted screenplay,Drama,Fiction,7.8,37162
172,House of Sand and Fog,13005485,16157923,16500000,Dec 19 2003,R,Adapted screenplay,Drama,Fiction,7.8,29777
173,Thank You For Smoking,24793509,39232211,7500000,Mar 17 2006,R,Adapted screenplay,Comedy,Fiction,7.8,65340
174,The Boy in the Striped Pyjamas,9030581,39830581,12500000,Nov 07 2008,PG/PG-13,Adapted screenplay,Drama,Fiction,7.8,21683
175,The Last King of Scotland,17606684,48363516,6000000,Sep 27 2006,R,Adapted screenplay,Drama,Non-Fiction,7.8,54022
176,The Kite Runner,15800078,73222245,20000000,Dec 14 2007,PG/PG-13,Adapted screenplay,Drama,Fiction,7.8,26816
177,Sideways,71502303,109705641,17000000,Oct 22 2004,R,Adapted screenplay,Drama,Fiction,7.8,69778
178,Coraline,75286229,124062750,60000000,Feb 06 2009,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.8,38464
179,Brokeback Mountain,83043761,180343761,13900000,Dec 09 2005,R,Adapted screenplay,Drama,Fiction,7.8,115951
180,Watchmen,107509799,184068357,138000000,Mar 06 2009,R,Adapted screenplay,Action/Adventure,Fiction,7.8,132250
181,X2,214949694,407711549,125000000,May 02 2003,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.8,112320
182,300,210614939,456068181,60000000,Mar 09 2007,R,Adapted screenplay,Action/Adventure,Fiction,7.8,235508
183,Joyeux NoÎl,1054361,1054361,22000000,Mar 03 2006,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,7.8,9363
184,Murderball,1531154,1722277,350000,Jul 08 2005,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,7.8,5699
185,Religulous,13011160,13136074,2500000,Oct 01 2008,R,Adapted screenplay,Documentary,Non-Fiction,7.8,23094
186,United 93,31567134,76366864,18000000,Apr 28 2006,R,Adapted screenplay,Drama,Non-Fiction,7.8,46691
187,La marche de l'empereur,77437223,129437223,3400000,Jun 24 2005,G,Adapted screenplay,Documentary,Non-Fiction,7.8,23674
188,Munich,47379090,130279090,75000000,Dec 23 2005,R,Adapted screenplay,Drama,Non-Fiction,7.8,79529
189,The Pursuit of Happyness,162586036,306086036,55000000,Dec 15 2006,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,7.8,77939
190,Star Trek II: The Wrath of Khan,79912963,96800000,12000000,Jun 04 1982,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.8,36131
191,Traffic,124107476,208300000,48000000,Dec 27 2000,R,Adapted screenplay,Drama,Fiction,7.8,85759
192,The Fugitive,183875760,368900000,44000000,Aug 06 1993,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,7.8,96914
193,The Station Agent,5801558,7773824,500000,Oct 03 2003,R,Original Screenplay,Drama,Fiction,7.8,22274
194,Les invasions barbares,8460000,8460000,5000000,May 09 2003,R,Original Screenplay,Drama,Fiction,7.8,14322
195,Gattaca,12532777,12532777,36000000,Oct 24 1997,PG/PG-13,Original Screenplay,Drama,Fiction,7.8,70906
196,Rushmore,17105219,19080435,10000000,Dec 11 1998,R,Original Screenplay,Comedy,Fiction,7.8,53192
197,The Kids Are All Right,20553799,20553799,4000000,Jul 09 2010,R,Original Screenplay,Comedy,Fiction,7.8,3093
198,Dark City,14435076,27257061,27000000,Feb 27 1998,R,Original Screenplay,Horror/Thriller,Fiction,7.8,62991
199,Lage Raho Munnabhai,2217561,31517561,2700000,Sep 01 2006,Other,Original Screenplay,Comedy,Fiction,7.8,5236
200,The Hurt Locker,14700000,44468574,15000000,Jun 26 2009,R,Original Screenplay,Drama,Fiction,7.8,83679
201,Stranger Than Fiction,40435190,45235190,30000000,Nov 10 2006,PG/PG-13,Original Screenplay,Comedy,Fiction,7.8,74218
202,Dancer in the Dark,4157491,45557491,12500000,Sep 22 2000,R,Original Screenplay,Western/Musical,Fiction,7.8,36542
203,9,31749894,46603791,30000000,Sep 09 2009,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,7.8,1488
204,Lucky Number Slevin,22495466,55495466,27000000,Apr 07 2006,R,Original Screenplay,Horror/Thriller,Fiction,7.8,91145
205,Match Point,23089926,87989926,15000000,Dec 28 2005,R,Original Screenplay,Horror/Thriller,Fiction,7.8,65704
206,The Butterfly Effect,57924679,96046844,13000000,Jan 23 2004,R,Original Screenplay,Horror/Thriller,Fiction,7.8,102982
207,Zombieland,75590286,98690286,23600000,Oct 02 2009,R,Original Screenplay,Comedy,Fiction,7.8,81629
208,Superbad,121463226,169863226,17500000,Aug 17 2007,R,Original Screenplay,Comedy,Fiction,7.8,134212
209,Gake no ue no Ponyo,15090399,199090399,34000000,Aug 14 2009,G,Original Screenplay,Action/Adventure,Fiction,7.8,13821
210,The Others,96522687,209947037,17000000,Aug 10 2001,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,7.8,86091
211,Collateral,100170152,217670152,60000000,Aug 06 2004,R,Original Screenplay,Action/Adventure,Fiction,7.8,105362
212,As Good as it Gets,148478011,314111923,50000000,Dec 24 1997,PG/PG-13,Original Screenplay,Comedy,Fiction,7.8,92240
213,The Last Samurai,111110575,456810575,120000000,Dec 05 2003,R,Original Screenplay,Action/Adventure,Fiction,7.8,106002
214,Aladdin,217350219,504050219,28000000,Nov 11 1992,G,Original Screenplay,Comedy,Fiction,7.8,69090
215,Les Choristes,3629758,83529758,5500000,Nov 26 2004,PG/PG-13,Adapted screenplay,Drama,Fiction,7.8,16391
216,The Assassination of Jesse James by the Coward Robert Ford,3909149,15001776,30000000,Sep 21 2007,R,Adapted screenplay,Western/Musical,Non-Fiction,7.7,57465
217,Easy A,21056221,22156221,8000000,Sep 17 2010,PG/PG-13,Adapted screenplay,Comedy,Fiction,7.7,483
218,The Player,21706101,28876702,8000000,Apr 10 1992,R,Adapted screenplay,Comedy,Fiction,7.7,24451
219,Whale Rider,20779666,38833352,4300000,Jun 06 2003,PG/PG-13,Adapted screenplay,Drama,Fiction,7.7,21814
220,The Illusionist,39868642,84276175,16500000,Aug 18 2006,PG/PG-13,Adapted screenplay,Drama,Fiction,7.7,92040
221,The Reader,34192652,106107610,33000000,Dec 10 2008,R,Adapted screenplay,Drama,Fiction,7.7,46984
222,Sense and Sensibility,42993774,134993774,16500000,Dec 11 1995,PG/PG-13,Adapted screenplay,Drama,Fiction,7.7,31279
223,Black Hawk Down,108638745,173638745,95000000,Dec 28 2001,R,Adapted screenplay,Action/Adventure,Non-Fiction,7.7,98653
224,The Bourne Identity,121468960,213300000,60000000,Jun 14 2002,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.7,122597
225,Minority Report,132024714,358824714,102000000,Jun 21 2002,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.7,135142
